Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,909000,1552507678843451000,1552507678843451000,1552507678844360000,1552507678844360000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,591000,1552507678844374000,1552507678844374000,1552507678844965000,1552507678844965000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3966000,1552507678844980000,1552507678844980000,1552507678848946000,1552507678848946000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,177000,1552507678848959000,1552507678848959000,1552507678849136000,1552507678849136000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,131000,1552507678849151000,1552507678849151000,1552507678849282000,1552507678849282000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507678882528000,1552507678882528000,1552507678882556000,1552507678882556000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,497000,1552507678882592000,1552507678882592000,1552507678883089000,1552507678883089000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1444000,1552507678883106000,1552507678883106000,1552507678884550000,1552507678884550000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1903000,1552507678884565000,1552507678884565000,1552507678886468000,1552507678886468000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,326000,1552507678886481000,1552507678886481000,1552507678886807000,1552507678886807000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507678768809000,1552507678768809000,1552507678768811000,1552507678768811000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507678768827000,1552507678768827000,1552507678768830000,1552507678768830000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507678762840000,1552507678762840000,1552507678762845000,1552507678762845000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507678762886000,1552507678762886000,1552507678762889000,1552507678762889000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5857000,1552507678762910000,1552507678762910000,1552507678768767000,1552507678768767000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,38000,1552507678762376000,1552507678762376000,1552507678762414000,1552507678762414000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,4000,1552507678762427000,1552507678762427000,1552507678762431000,1552507678762431000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,26000,1552507678762581000,1552507678762581000,1552507678762607000,1552507678762607000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,2000,1552507678762619000,1552507678762619000,1552507678762621000,1552507678762621000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,72000,1552507678836984000,1552507678836984000,1552507678837056000,1552507678837056000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,638000,1552507678837088000,1552507678837088000,1552507678837726000,1552507678837726000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,110000,1552507678837740000,1552507678837740000,1552507678837850000,1552507678837850000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4351000,1552507678837867000,1552507678837867000,1552507678842218000,1552507678842218000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,910000,1552507678842234000,1552507678842234000,1552507678843144000,1552507678843144000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,53000,1552507678782367000,1552507678782367000,1552507678782420000,1552507678782420000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,218000,1552507678782450000,1552507678782450000,1552507678782668000,1552507678782668000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,745000,1552507678782681000,1552507678782681000,1552507678783426000,1552507678783426000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,356000,1552507678783442000,1552507678783442000,1552507678783798000,1552507678783798000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2949000,1552507678783817000,1552507678783817000,1552507678786766000,1552507678786766000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,686000,1552507678786778000,1552507678786778000,1552507678787464000,1552507678787464000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,55000,1552507678868324000,1552507678868324000,1552507678868379000,1552507678868379000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,777000,1552507678868409000,1552507678868409000,1552507678869186000,1552507678869186000
