Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,910000,1552507680562882000,1552507680562882000,1552507680563792000,1552507680563792000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,594000,1552507680563807000,1552507680563807000,1552507680564401000,1552507680564401000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4116000,1552507680564414000,1552507680564414000,1552507680568530000,1552507680568530000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,181000,1552507680568543000,1552507680568543000,1552507680568724000,1552507680568724000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,133000,1552507680568740000,1552507680568740000,1552507680568873000,1552507680568873000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507680602829000,1552507680602829000,1552507680602857000,1552507680602857000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,500000,1552507680602894000,1552507680602894000,1552507680603394000,1552507680603394000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1467000,1552507680603411000,1552507680603411000,1552507680604878000,1552507680604878000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1971000,1552507680604894000,1552507680604894000,1552507680606865000,1552507680606865000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,330000,1552507680606879000,1552507680606879000,1552507680607209000,1552507680607209000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507680490318000,1552507680490318000,1552507680490321000,1552507680490321000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507680490335000,1552507680490335000,1552507680490337000,1552507680490337000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507680484667000,1552507680484667000,1552507680484672000,1552507680484672000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507680484713000,1552507680484713000,1552507680484716000,1552507680484716000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5537000,1552507680484736000,1552507680484736000,1552507680490273000,1552507680490273000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,39000,1552507680484209000,1552507680484209000,1552507680484248000,1552507680484248000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,4000,1552507680484262000,1552507680484262000,1552507680484266000,1552507680484266000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,27000,1552507680484409000,1552507680484409000,1552507680484436000,1552507680484436000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507680484448000,1552507680484448000,1552507680484451000,1552507680484451000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,73000,1552507680556293000,1552507680556293000,1552507680556366000,1552507680556366000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,642000,1552507680556397000,1552507680556397000,1552507680557039000,1552507680557039000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,111000,1552507680557051000,1552507680557051000,1552507680557162000,1552507680557162000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4470000,1552507680557178000,1552507680557178000,1552507680561648000,1552507680561648000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,914000,1552507680561663000,1552507680561663000,1552507680562577000,1552507680562577000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,51000,1552507680502784000,1552507680502784000,1552507680502835000,1552507680502835000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,200000,1552507680502867000,1552507680502867000,1552507680503067000,1552507680503067000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,740000,1552507680503081000,1552507680503081000,1552507680503821000,1552507680503821000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,342000,1552507680503834000,1552507680503834000,1552507680504176000,1552507680504176000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2710000,1552507680504196000,1552507680504196000,1552507680506906000,1552507680506906000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,657000,1552507680506920000,1552507680506920000,1552507680507577000,1552507680507577000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,58000,1552507680588289000,1552507680588289000,1552507680588347000,1552507680588347000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,782000,1552507680588376000,1552507680588376000,1552507680589158000,1552507680589158000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,703000,1552507680589172000,1552507680589172000,1552507680589875000,1552507680589875000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,3071000,1552507680589893000,1552507680589893000,1552507680592964000,1552507680592964000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,368000,1552507680592978000,1552507680592978000,1552507680593346000,1552507680593346000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,68000,1552507680518218000,1552507680518218000,1552507680518286000,1552507680518286000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,969000,1552507680518313000,1552507680518313000,1552507680519282000,1552507680519282000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,113000,1552507680519295000,1552507680519295000,1552507680519408000,1552507680519408000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,3959000,1552507680519424000,1552507680519424000,1552507680523383000,1552507680523383000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,575000,1552507680523397000,1552507680523397000,1552507680523972000,1552507680523972000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,913000,1552507680578775000,1552507680578775000,1552507680579688000,1552507680579688000
