Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,907000,1552507685868641000,1552507685868641000,1552507685869548000,1552507685869548000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,592000,1552507685869560000,1552507685869560000,1552507685870152000,1552507685870152000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4004000,1552507685870166000,1552507685870166000,1552507685874170000,1552507685874170000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,172000,1552507685874183000,1552507685874183000,1552507685874355000,1552507685874355000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,133000,1552507685874370000,1552507685874370000,1552507685874503000,1552507685874503000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,27000,1552507685907102000,1552507685907102000,1552507685907129000,1552507685907129000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,498000,1552507685907165000,1552507685907165000,1552507685907663000,1552507685907663000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1440000,1552507685907684000,1552507685907684000,1552507685909124000,1552507685909124000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1854000,1552507685909138000,1552507685909138000,1552507685910992000,1552507685910992000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,326000,1552507685911005000,1552507685911005000,1552507685911331000,1552507685911331000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507685796418000,1552507685796418000,1552507685796420000,1552507685796420000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507685796436000,1552507685796436000,1552507685796439000,1552507685796439000
