Node	Time
0.001025024	GPU-0	Cast	128x1001 -DstT f16 -SrcT f32 	128x1001	-	0.0ms 0TOps 340GBs
0.004194308	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 220GBs
0.019010048	GPU-0	MatMul	4096x1001 f16 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
0.0094372	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 130GBs
5.12e-07	GPU-0	Cast	64 -DstT f32 -SrcT f16 	64	-	0.0ms 0TOps 0GBs
0.096780288	GPU-0	Conv2D	128x192x27x27 f16 same_pad lib	128x64x27x27	5x5x64x192	5.4ms 11TOps 20GBs
0.007077892	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.0ms 0TOps 150GBs
1.6e-08	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
3.072e-06	GPU-0	Cast	384 -DstT f16 -SrcT f32 	384	-	0.0ms 0TOps 0GBs
0.06645504	GPU-0	BiasAdd	128x384x13x13 f16	128x384x13x13	384	0.5ms 0TOps 130GBs
0.150994948	GPU-0	L2Loss	1 	9216x4096	-	0.9ms 0TOps 160GBs
0.134217728	GPU-0	Cast	4096x4096 -DstT f32 -SrcT f16 	4096x4096	-	0.8ms 0TOps 180GBs
0.04430336	GPU-0	BiasAdd	128x256x13x13 f16	128x256x13x13	256	0.4ms 0TOps 130GBs
0.134217728	GPU-0	Cast	4096x4096 -DstT f16 -SrcT f32 	4096x4096	-	0.7ms 0TOps 200GBs
1.2012e-05	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 10GBs
0.049020928	GPU-0	MaxPoolGrad	128x256x13x13 f16  ksize1331  str1221	128x256x13x13	128x256x6x6 128x256x6x6	0.8ms 0TOps 60GBs
3.076e-06	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
4.608e-06	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
0.007962628	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 150GBs
4.008e-06	GPU-0	L2Loss	1 	1001	-	0.0ms 0TOps 0GBs
1.2e-08	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
4.9152e-05	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
0.096780304	GPU-0	Conv2DBackpropFilter	5x5x64x192 f16 same_pad lib	128x64x27x27	128x192x27x27	4.8ms 12TOps 20GBs
7.68e-07	GPU-0	AddN	64 -N i: 2 	64	64	0.0ms 0TOps 0GBs
0.010616836	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 150GBs
0.002457604	GPU-0	Mul	5x5x64x192 	5x5x64x192	1	0.0ms 0TOps 160GBs
0.033228288	GPU-0	BiasAddGrad	384 f16	128x384x13x13	-	0.3ms 0TOps 110GBs
0.088276992	GPU-0	MaxPool	128x192x13x13 f16  ksize1331  str1221	128x192x27x27	-	0.8ms 0TOps 110GBs
2.052e-06	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
0.071303168	GPU-0	MatMul	128x4096 f16 B'	128x4096	4096x4096	1.2ms 3TOps 60GBs
0.301989888	GPU-0	Cast	9216x4096 -DstT f32 -SrcT f16 	9216x4096	-	1.8ms 0TOps 170GBs
0.143328	GPU-0	BiasAdd	128x192x27x27 f16	128x192x27x27	192	1.1ms 0TOps 120GBs
1.54e-06	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
0.000185856	GPU-0	Cast	11x11x3x64 -DstT f16 -SrcT f32 	11x11x3x64	-	0.0ms 0TOps 90GBs
1.6388e-05	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
0.06645504	GPU-0	BiasAdd	128x384x13x13 f16	128x384x13x13	384	0.5ms 0TOps 130GBs
0.052494352	GPU-0	Conv2DBackpropFilter	3x3x192x384 f16 same_pad lib	128x192x13x13	128x384x13x13	5.5ms 5TOps 10GBs
