Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,906000,1552507679765525000,1552507679765525000,1552507679766431000,1552507679766431000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,591000,1552507679766445000,1552507679766445000,1552507679767036000,1552507679767036000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3933000,1552507679767050000,1552507679767050000,1552507679770983000,1552507679770983000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,176000,1552507679770995000,1552507679770995000,1552507679771171000,1552507679771171000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,132000,1552507679771186000,1552507679771186000,1552507679771318000,1552507679771318000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,26000,1552507679804122000,1552507679804122000,1552507679804148000,1552507679804148000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,498000,1552507679804185000,1552507679804185000,1552507679804683000,1552507679804683000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1452000,1552507679804700000,1552507679804700000,1552507679806152000,1552507679806152000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1886000,1552507679806166000,1552507679806166000,1552507679808052000,1552507679808052000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,330000,1552507679808065000,1552507679808065000,1552507679808395000,1552507679808395000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507679692707000,1552507679692707000,1552507679692709000,1552507679692709000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507679692724000,1552507679692724000,1552507679692726000,1552507679692726000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507679687118000,1552507679687118000,1552507679687123000,1552507679687123000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,2000,1552507679687164000,1552507679687164000,1552507679687166000,1552507679687166000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5475000,1552507679687187000,1552507679687187000,1552507679692662000,1552507679692662000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,37000,1552507679686342000,1552507679686342000,1552507679686379000,1552507679686379000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507679686399000,1552507679686399000,1552507679686402000,1552507679686402000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507679686850000,1552507679686850000,1552507679686878000,1552507679686878000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507679686891000,1552507679686891000,1552507679686894000,1552507679686894000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,71000,1552507679759158000,1552507679759158000,1552507679759229000,1552507679759229000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,635000,1552507679759261000,1552507679759261000,1552507679759896000,1552507679759896000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,112000,1552507679759910000,1552507679759910000,1552507679760022000,1552507679760022000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4275000,1552507679760037000,1552507679760037000,1552507679764312000,1552507679764312000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,903000,1552507679764326000,1552507679764326000,1552507679765229000,1552507679765229000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,53000,1552507679705749000,1552507679705749000,1552507679705802000,1552507679705802000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,204000,1552507679705838000,1552507679705838000,1552507679706042000,1552507679706042000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,743000,1552507679706056000,1552507679706056000,1552507679706799000,1552507679706799000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,344000,1552507679706813000,1552507679706813000,1552507679707157000,1552507679707157000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,3044000,1552507679707176000,1552507679707176000,1552507679710220000,1552507679710220000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,679000,1552507679710236000,1552507679710236000,1552507679710915000,1552507679710915000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,55000,1552507679790062000,1552507679790062000,1552507679790117000,1552507679790117000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,776000,1552507679790147000,1552507679790147000,1552507679790923000,1552507679790923000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,693000,1552507679790936000,1552507679790936000,1552507679791629000,1552507679791629000
