Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,905000,1552507690407892000,1552507690407892000,1552507690408797000,1552507690408797000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,589000,1552507690408811000,1552507690408811000,1552507690409400000,1552507690409400000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4017000,1552507690409414000,1552507690409414000,1552507690413431000,1552507690413431000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,165000,1552507690413443000,1552507690413443000,1552507690413608000,1552507690413608000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,130000,1552507690413625000,1552507690413625000,1552507690413755000,1552507690413755000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,27000,1552507690445925000,1552507690445925000,1552507690445952000,1552507690445952000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,495000,1552507690445991000,1552507690445991000,1552507690446486000,1552507690446486000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1447000,1552507690446503000,1552507690446503000,1552507690447950000,1552507690447950000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1821000,1552507690447966000,1552507690447966000,1552507690449787000,1552507690449787000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,326000,1552507690449801000,1552507690449801000,1552507690450127000,1552507690450127000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507690333603000,1552507690333603000,1552507690333605000,1552507690333605000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507690333620000,1552507690333620000,1552507690333622000,1552507690333622000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507690327397000,1552507690327397000,1552507690327402000,1552507690327402000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507690327449000,1552507690327449000,1552507690327452000,1552507690327452000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,6087000,1552507690327472000,1552507690327472000,1552507690333559000,1552507690333559000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,39000,1552507690326727000,1552507690326727000,1552507690326766000,1552507690326766000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507690326779000,1552507690326779000,1552507690326782000,1552507690326782000
