Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,911000,1552507686621748000,1552507686621748000,1552507686622659000,1552507686622659000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,592000,1552507686622672000,1552507686622672000,1552507686623264000,1552507686623264000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3932000,1552507686623277000,1552507686623277000,1552507686627209000,1552507686627209000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,182000,1552507686627223000,1552507686627223000,1552507686627405000,1552507686627405000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,126000,1552507686627421000,1552507686627421000,1552507686627547000,1552507686627547000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,26000,1552507686660374000,1552507686660374000,1552507686660400000,1552507686660400000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,501000,1552507686660437000,1552507686660437000,1552507686660938000,1552507686660938000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1458000,1552507686660954000,1552507686660954000,1552507686662412000,1552507686662412000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1881000,1552507686662425000,1552507686662425000,1552507686664306000,1552507686664306000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,329000,1552507686664319000,1552507686664319000,1552507686664648000,1552507686664648000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507686549915000,1552507686549915000,1552507686549917000,1552507686549917000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507686549932000,1552507686549932000,1552507686549934000,1552507686549934000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,4000,1552507686544495000,1552507686544495000,1552507686544499000,1552507686544499000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,2000,1552507686544541000,1552507686544541000,1552507686544543000,1552507686544543000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5309000,1552507686544563000,1552507686544563000,1552507686549872000,1552507686549872000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,39000,1552507686544039000,1552507686544039000,1552507686544078000,1552507686544078000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507686544090000,1552507686544090000,1552507686544093000,1552507686544093000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,27000,1552507686544239000,1552507686544239000,1552507686544266000,1552507686544266000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507686544278000,1552507686544278000,1552507686544281000,1552507686544281000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,70000,1552507686615445000,1552507686615445000,1552507686615515000,1552507686615515000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,634000,1552507686615548000,1552507686615548000,1552507686616182000,1552507686616182000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,111000,1552507686616194000,1552507686616194000,1552507686616305000,1552507686616305000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4212000,1552507686616319000,1552507686616319000,1552507686620531000,1552507686620531000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,911000,1552507686620544000,1552507686620544000,1552507686621455000,1552507686621455000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,50000,1552507686562653000,1552507686562653000,1552507686562703000,1552507686562703000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,197000,1552507686562736000,1552507686562736000,1552507686562933000,1552507686562933000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,739000,1552507686562947000,1552507686562947000,1552507686563686000,1552507686563686000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,330000,1552507686563698000,1552507686563698000,1552507686564028000,1552507686564028000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2672000,1552507686564047000,1552507686564047000,1552507686566719000,1552507686566719000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,653000,1552507686566733000,1552507686566733000,1552507686567386000,1552507686567386000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,56000,1552507686646287000,1552507686646287000,1552507686646343000,1552507686646343000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,781000,1552507686646373000,1552507686646373000,1552507686647154000,1552507686647154000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,689000,1552507686647169000,1552507686647169000,1552507686647858000,1552507686647858000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,2976000,1552507686647876000,1552507686647876000,1552507686650852000,1552507686650852000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,358000,1552507686650867000,1552507686650867000,1552507686651225000,1552507686651225000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,66000,1552507686577967000,1552507686577967000,1552507686578033000,1552507686578033000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,963000,1552507686578061000,1552507686578061000,1552507686579024000,1552507686579024000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,110000,1552507686579037000,1552507686579037000,1552507686579147000,1552507686579147000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,3936000,1552507686579164000,1552507686579164000,1552507686583100000,1552507686583100000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,576000,1552507686583114000,1552507686583114000,1552507686583690000,1552507686583690000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,908000,1552507686637096000,1552507686637096000,1552507686638004000,1552507686638004000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,901000,1552507686638017000,1552507686638017000,1552507686638918000,1552507686638918000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,5887000,1552507686638929000,1552507686638929000,1552507686644816000,1552507686644816000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,251000,1552507686644828000,1552507686644828000,1552507686645079000,1552507686645079000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,280000,1552507686645094000,1552507686645094000,1552507686645374000,1552507686645374000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,411000,1552507686536735000,1552507686536735000,1552507686537146000,1552507686537146000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,3000,1552507686537161000,1552507686537161000,1552507686537164000,1552507686537164000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3000,1552507686674681000,1552507686674681000,1552507686674684000,1552507686674684000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507686674698000,1552507686674698000,1552507686674700000,1552507686674700000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507686674714000,1552507686674714000,1552507686674716000,1552507686674716000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,6858000,1552507686674730000,1552507686674730000,1552507686681588000,1552507686681588000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4000,1552507686681607000,1552507686681607000,1552507686681611000,1552507686681611000
