Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,908000,1552507689651698000,1552507689651698000,1552507689652606000,1552507689652606000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,592000,1552507689652619000,1552507689652619000,1552507689653211000,1552507689653211000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4005000,1552507689653225000,1552507689653225000,1552507689657230000,1552507689657230000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,181000,1552507689657244000,1552507689657244000,1552507689657425000,1552507689657425000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,128000,1552507689657441000,1552507689657441000,1552507689657569000,1552507689657569000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507689690851000,1552507689690851000,1552507689690879000,1552507689690879000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,499000,1552507689690916000,1552507689690916000,1552507689691415000,1552507689691415000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1457000,1552507689691441000,1552507689691441000,1552507689692898000,1552507689692898000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1922000,1552507689692913000,1552507689692913000,1552507689694835000,1552507689694835000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,325000,1552507689694848000,1552507689694848000,1552507689695173000,1552507689695173000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507689578842000,1552507689578842000,1552507689578844000,1552507689578844000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507689578859000,1552507689578859000,1552507689578861000,1552507689578861000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,4000,1552507689573123000,1552507689573123000,1552507689573127000,1552507689573127000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507689573170000,1552507689573170000,1552507689573173000,1552507689573173000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5605000,1552507689573193000,1552507689573193000,1552507689578798000,1552507689578798000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,39000,1552507689572459000,1552507689572459000,1552507689572498000,1552507689572498000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507689572510000,1552507689572510000,1552507689572513000,1552507689572513000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507689572772000,1552507689572772000,1552507689572800000,1552507689572800000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,2000,1552507689572813000,1552507689572813000,1552507689572815000,1552507689572815000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,73000,1552507689645210000,1552507689645210000,1552507689645283000,1552507689645283000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,638000,1552507689645317000,1552507689645317000,1552507689645955000,1552507689645955000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,111000,1552507689645969000,1552507689645969000,1552507689646080000,1552507689646080000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4365000,1552507689646097000,1552507689646097000,1552507689650462000,1552507689650462000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,909000,1552507689650477000,1552507689650477000,1552507689651386000,1552507689651386000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,52000,1552507689591262000,1552507689591262000,1552507689591314000,1552507689591314000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,200000,1552507689591348000,1552507689591348000,1552507689591548000,1552507689591548000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,776000,1552507689591566000,1552507689591566000,1552507689592342000,1552507689592342000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,358000,1552507689592355000,1552507689592355000,1552507689592713000,1552507689592713000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2682000,1552507689592731000,1552507689592731000,1552507689595413000,1552507689595413000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,654000,1552507689595432000,1552507689595432000,1552507689596086000,1552507689596086000
