Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,907000,1552507679391751000,1552507679391751000,1552507679392658000,1552507679392658000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,592000,1552507679392671000,1552507679392671000,1552507679393263000,1552507679393263000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4009000,1552507679393276000,1552507679393276000,1552507679397285000,1552507679397285000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,180000,1552507679397299000,1552507679397299000,1552507679397479000,1552507679397479000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,129000,1552507679397494000,1552507679397494000,1552507679397623000,1552507679397623000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507679430961000,1552507679430961000,1552507679430989000,1552507679430989000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,496000,1552507679431024000,1552507679431024000,1552507679431520000,1552507679431520000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1459000,1552507679431538000,1552507679431538000,1552507679432997000,1552507679432997000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1921000,1552507679433011000,1552507679433011000,1552507679434932000,1552507679434932000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,327000,1552507679434945000,1552507679434945000,1552507679435272000,1552507679435272000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507679321096000,1552507679321096000,1552507679321099000,1552507679321099000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507679321113000,1552507679321113000,1552507679321116000,1552507679321116000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507679315510000,1552507679315510000,1552507679315515000,1552507679315515000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507679315555000,1552507679315555000,1552507679315558000,1552507679315558000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5476000,1552507679315578000,1552507679315578000,1552507679321054000,1552507679321054000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,38000,1552507679315051000,1552507679315051000,1552507679315089000,1552507679315089000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507679315101000,1552507679315101000,1552507679315104000,1552507679315104000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507679315244000,1552507679315244000,1552507679315272000,1552507679315272000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507679315283000,1552507679315283000,1552507679315286000,1552507679315286000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,71000,1552507679385314000,1552507679385314000,1552507679385385000,1552507679385385000
