Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,907000,1552507689276931000,1552507689276931000,1552507689277838000,1552507689277838000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,591000,1552507689277851000,1552507689277851000,1552507689278442000,1552507689278442000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3878000,1552507689278457000,1552507689278457000,1552507689282335000,1552507689282335000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,171000,1552507689282348000,1552507689282348000,1552507689282519000,1552507689282519000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,126000,1552507689282534000,1552507689282534000,1552507689282660000,1552507689282660000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,27000,1552507689315697000,1552507689315697000,1552507689315724000,1552507689315724000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,498000,1552507689315763000,1552507689315763000,1552507689316261000,1552507689316261000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1444000,1552507689316279000,1552507689316279000,1552507689317723000,1552507689317723000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,2041000,1552507689317738000,1552507689317738000,1552507689319779000,1552507689319779000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,329000,1552507689319794000,1552507689319794000,1552507689320123000,1552507689320123000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507689203757000,1552507689203757000,1552507689203760000,1552507689203760000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507689203774000,1552507689203774000,1552507689203777000,1552507689203777000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507689198155000,1552507689198155000,1552507689198160000,1552507689198160000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507689198201000,1552507689198201000,1552507689198204000,1552507689198204000
