Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,907000,1552507693131217000,1552507693131217000,1552507693132124000,1552507693132124000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,591000,1552507693132138000,1552507693132138000,1552507693132729000,1552507693132729000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3788000,1552507693132744000,1552507693132744000,1552507693136532000,1552507693136532000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,168000,1552507693136545000,1552507693136545000,1552507693136713000,1552507693136713000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,126000,1552507693136729000,1552507693136729000,1552507693136855000,1552507693136855000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,26000,1552507693168787000,1552507693168787000,1552507693168813000,1552507693168813000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,499000,1552507693168852000,1552507693168852000,1552507693169351000,1552507693169351000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1438000,1552507693169367000,1552507693169367000,1552507693170805000,1552507693170805000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1824000,1552507693170819000,1552507693170819000,1552507693172643000,1552507693172643000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,325000,1552507693172661000,1552507693172661000,1552507693172986000,1552507693172986000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507693057878000,1552507693057878000,1552507693057881000,1552507693057881000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507693057895000,1552507693057895000,1552507693057898000,1552507693057898000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507693052108000,1552507693052108000,1552507693052113000,1552507693052113000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,2000,1552507693052155000,1552507693052155000,1552507693052157000,1552507693052157000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5657000,1552507693052178000,1552507693052178000,1552507693057835000,1552507693057835000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,38000,1552507693051614000,1552507693051614000,1552507693051652000,1552507693051652000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507693051689000,1552507693051689000,1552507693051692000,1552507693051692000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507693051847000,1552507693051847000,1552507693051875000,1552507693051875000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507693051886000,1552507693051886000,1552507693051889000,1552507693051889000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,70000,1552507693125009000,1552507693125009000,1552507693125079000,1552507693125079000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,633000,1552507693125111000,1552507693125111000,1552507693125744000,1552507693125744000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,109000,1552507693125757000,1552507693125757000,1552507693125866000,1552507693125866000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4128000,1552507693125882000,1552507693125882000,1552507693130010000,1552507693130010000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,907000,1552507693130023000,1552507693130023000,1552507693130930000,1552507693130930000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,52000,1552507693070760000,1552507693070760000,1552507693070812000,1552507693070812000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,211000,1552507693070846000,1552507693070846000,1552507693071057000,1552507693071057000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,742000,1552507693071072000,1552507693071072000,1552507693071814000,1552507693071814000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,359000,1552507693071827000,1552507693071827000,1552507693072186000,1552507693072186000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,2851000,1552507693072207000,1552507693072207000,1552507693075058000,1552507693075058000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,667000,1552507693075073000,1552507693075073000,1552507693075740000,1552507693075740000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,55000,1552507693155118000,1552507693155118000,1552507693155173000,1552507693155173000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,777000,1552507693155202000,1552507693155202000,1552507693155979000,1552507693155979000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,675000,1552507693155993000,1552507693155993000,1552507693156668000,1552507693156668000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,2864000,1552507693156686000,1552507693156686000,1552507693159550000,1552507693159550000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,345000,1552507693159564000,1552507693159564000,1552507693159909000,1552507693159909000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,70000,1552507693086824000,1552507693086824000,1552507693086894000,1552507693086894000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,962000,1552507693086922000,1552507693086922000,1552507693087884000,1552507693087884000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,110000,1552507693087897000,1552507693087897000,1552507693088007000,1552507693088007000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,4129000,1552507693088024000,1552507693088024000,1552507693092153000,1552507693092153000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,577000,1552507693092168000,1552507693092168000,1552507693092745000,1552507693092745000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,906000,1552507693146178000,1552507693146178000,1552507693147084000,1552507693147084000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,902000,1552507693147095000,1552507693147095000,1552507693147997000,1552507693147997000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,5681000,1552507693148010000,1552507693148010000,1552507693153691000,1552507693153691000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,240000,1552507693153703000,1552507693153703000,1552507693153943000,1552507693153943000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,271000,1552507693153957000,1552507693153957000,1552507693154228000,1552507693154228000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,411000,1552507693044186000,1552507693044186000,1552507693044597000,1552507693044597000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,3000,1552507693044612000,1552507693044612000,1552507693044615000,1552507693044615000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3000,1552507693182783000,1552507693182783000,1552507693182786000,1552507693182786000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507693182798000,1552507693182798000,1552507693182800000,1552507693182800000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507693182816000,1552507693182816000,1552507693182818000,1552507693182818000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,6630000,1552507693182832000,1552507693182832000,1552507693189462000,1552507693189462000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,4000,1552507693189480000,1552507693189480000,1552507693189484000,1552507693189484000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,452000,1552507693160283000,1552507693160283000,1552507693160735000,1552507693160735000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,900000,1552507693160748000,1552507693160748000,1552507693161648000,1552507693161648000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3774000,1552507693161660000,1552507693161660000,1552507693165434000,1552507693165434000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,136000,1552507693165447000,1552507693165447000,1552507693165583000,1552507693165583000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,53000,1552507693165597000,1552507693165597000,1552507693165650000,1552507693165650000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,114000,1552507693137527000,1552507693137527000,1552507693137641000,1552507693137641000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,970000,1552507693137667000,1552507693137667000,1552507693138637000,1552507693138637000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,166000,1552507693138648000,1552507693138648000,1552507693138814000,1552507693138814000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,6061000,1552507693138826000,1552507693138826000,1552507693144887000,1552507693144887000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,904000,1552507693144900000,1552507693144900000,1552507693145804000,1552507693145804000
L2Loss,tower_0/v/l2_loss/L2Loss_2,/device:GPU:0/stream:all,17000,1552507693050633000,1552507693050633000,1552507693050650000,1552507693050650000
L2Loss,tower_0/v/l2_loss/L2Loss_2,/device:GPU:0/stream:all,3000,1552507693050673000,1552507693050673000,1552507693050676000,1552507693050676000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,620000,1552507693173682000,1552507693173682000,1552507693174302000,1552507693174302000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2006000,1552507693174315000,1552507693174315000,1552507693176321000,1552507693176321000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,1986000,1552507693176336000,1552507693176336000,1552507693178322000,1552507693178322000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,119000,1552507693178335000,1552507693178335000,1552507693178454000,1552507693178454000
