Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,907000,1552507681683980000,1552507681683980000,1552507681684887000,1552507681684887000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,591000,1552507681684900000,1552507681684900000,1552507681685491000,1552507681685491000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3967000,1552507681685504000,1552507681685504000,1552507681689471000,1552507681689471000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,172000,1552507681689485000,1552507681689485000,1552507681689657000,1552507681689657000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,133000,1552507681689672000,1552507681689672000,1552507681689805000,1552507681689805000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,28000,1552507681722934000,1552507681722934000,1552507681722962000,1552507681722962000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,497000,1552507681722999000,1552507681722999000,1552507681723496000,1552507681723496000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1450000,1552507681723514000,1552507681723514000,1552507681724964000,1552507681724964000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1901000,1552507681724978000,1552507681724978000,1552507681726879000,1552507681726879000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,329000,1552507681726892000,1552507681726892000,1552507681727221000,1552507681727221000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507681609376000,1552507681609376000,1552507681609379000,1552507681609379000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507681609394000,1552507681609394000,1552507681609397000,1552507681609397000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507681603402000,1552507681603402000,1552507681603407000,1552507681603407000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507681603457000,1552507681603457000,1552507681603460000,1552507681603460000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5850000,1552507681603482000,1552507681603482000,1552507681609332000,1552507681609332000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,40000,1552507681602733000,1552507681602733000,1552507681602773000,1552507681602773000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507681602785000,1552507681602785000,1552507681602788000,1552507681602788000
