Op,Node name in TensorFlow model graph,RunMetadata Device,Total time for all kernel launches (microseconds),t0,t1,t2,t3
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,905000,1552507686242633000,1552507686242633000,1552507686243538000,1552507686243538000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,590000,1552507686243553000,1552507686243553000,1552507686244143000,1552507686244143000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3857000,1552507686244157000,1552507686244157000,1552507686248014000,1552507686248014000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,168000,1552507686248027000,1552507686248027000,1552507686248195000,1552507686248195000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,121000,1552507686248211000,1552507686248211000,1552507686248332000,1552507686248332000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,27000,1552507686280688000,1552507686280688000,1552507686280715000,1552507686280715000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,497000,1552507686280752000,1552507686280752000,1552507686281249000,1552507686281249000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1458000,1552507686281265000,1552507686281265000,1552507686282723000,1552507686282723000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,1855000,1552507686282736000,1552507686282736000,1552507686284591000,1552507686284591000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,328000,1552507686284619000,1552507686284619000,1552507686284947000,1552507686284947000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,2000,1552507686167470000,1552507686167470000,1552507686167472000,1552507686167472000
AddN,tower_0/v/l2_loss/AddN,/device:GPU:0/stream:all,3000,1552507686167487000,1552507686167487000,1552507686167490000,1552507686167490000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,5000,1552507686161254000,1552507686161254000,1552507686161259000,1552507686161259000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,3000,1552507686161301000,1552507686161301000,1552507686161304000,1552507686161304000
Conv2D,tower_0/v/cg/conv0/conv2d/Conv2D,/device:GPU:0/stream:all,6096000,1552507686161325000,1552507686161325000,1552507686167421000,1552507686167421000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,38000,1552507686160793000,1552507686160793000,1552507686160831000,1552507686160831000
L2Loss,tower_0/v/l2_loss/L2Loss_6,/device:GPU:0/stream:all,3000,1552507686160843000,1552507686160843000,1552507686160846000,1552507686160846000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,28000,1552507686160990000,1552507686160990000,1552507686161018000,1552507686161018000
L2Loss,tower_0/v/l2_loss/L2Loss_8,/device:GPU:0/stream:all,3000,1552507686161030000,1552507686161030000,1552507686161033000,1552507686161033000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,71000,1552507686236331000,1552507686236331000,1552507686236402000,1552507686236402000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,634000,1552507686236436000,1552507686236436000,1552507686237070000,1552507686237070000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,110000,1552507686237083000,1552507686237083000,1552507686237193000,1552507686237193000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,4214000,1552507686237210000,1552507686237210000,1552507686241424000,1552507686241424000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,905000,1552507686241438000,1552507686241438000,1552507686242343000,1552507686242343000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,53000,1552507686180548000,1552507686180548000,1552507686180601000,1552507686180601000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,217000,1552507686180633000,1552507686180633000,1552507686180850000,1552507686180850000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,750000,1552507686180863000,1552507686180863000,1552507686181613000,1552507686181613000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,356000,1552507686181624000,1552507686181624000,1552507686181980000,1552507686181980000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,3211000,1552507686182000000,1552507686182000000,1552507686185211000,1552507686185211000
Conv2D,tower_0/v/cg/conv2/conv2d/Conv2D,/device:GPU:0/stream:all,685000,1552507686185227000,1552507686185227000,1552507686185912000,1552507686185912000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,55000,1552507686266818000,1552507686266818000,1552507686266873000,1552507686266873000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,780000,1552507686266903000,1552507686266903000,1552507686267683000,1552507686267683000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,680000,1552507686267698000,1552507686267698000,1552507686268378000,1552507686268378000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,2929000,1552507686268396000,1552507686268396000,1552507686271325000,1552507686271325000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,352000,1552507686271338000,1552507686271338000,1552507686271690000,1552507686271690000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,70000,1552507686196836000,1552507686196836000,1552507686196906000,1552507686196906000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,971000,1552507686196934000,1552507686196934000,1552507686197905000,1552507686197905000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,112000,1552507686197917000,1552507686197917000,1552507686198029000,1552507686198029000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,4224000,1552507686198045000,1552507686198045000,1552507686202269000,1552507686202269000
Conv2D,tower_0/v/cg/conv4/conv2d/Conv2D,/device:GPU:0/stream:all,579000,1552507686202283000,1552507686202283000,1552507686202862000,1552507686202862000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,904000,1552507686257754000,1552507686257754000,1552507686258658000,1552507686258658000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,901000,1552507686258670000,1552507686258670000,1552507686259571000,1552507686259571000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,5782000,1552507686259584000,1552507686259584000,1552507686265366000,1552507686265366000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,244000,1552507686265378000,1552507686265378000,1552507686265622000,1552507686265622000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,279000,1552507686265637000,1552507686265637000,1552507686265916000,1552507686265916000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,410000,1552507686152550000,1552507686152550000,1552507686152960000,1552507686152960000
L2Loss,tower_0/v/l2_loss/L2Loss_12,/device:GPU:0/stream:all,3000,1552507686152976000,1552507686152976000,1552507686152979000,1552507686152979000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507686294804000,1552507686294804000,1552507686294806000,1552507686294806000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507686294820000,1552507686294820000,1552507686294822000,1552507686294822000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2000,1552507686294837000,1552507686294837000,1552507686294839000,1552507686294839000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,6732000,1552507686294854000,1552507686294854000,1552507686301586000,1552507686301586000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,5000,1552507686301604000,1552507686301604000,1552507686301609000,1552507686301609000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,452000,1552507686272069000,1552507686272069000,1552507686272521000,1552507686272521000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,901000,1552507686272534000,1552507686272534000,1552507686273435000,1552507686273435000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,3847000,1552507686273447000,1552507686273447000,1552507686277294000,1552507686277294000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,132000,1552507686277306000,1552507686277306000,1552507686277438000,1552507686277438000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,51000,1552507686277453000,1552507686277453000,1552507686277504000,1552507686277504000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,110000,1552507686249012000,1552507686249012000,1552507686249122000,1552507686249122000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,973000,1552507686249148000,1552507686249148000,1552507686250121000,1552507686250121000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,165000,1552507686250132000,1552507686250132000,1552507686250297000,1552507686250297000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,6147000,1552507686250310000,1552507686250310000,1552507686256457000,1552507686256457000
Conv2DBackpropInput,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,/device:GPU:0/stream:all,907000,1552507686256469000,1552507686256469000,1552507686257376000,1552507686257376000
L2Loss,tower_0/v/l2_loss/L2Loss_2,/device:GPU:0/stream:all,17000,1552507686160495000,1552507686160495000,1552507686160512000,1552507686160512000
L2Loss,tower_0/v/l2_loss/L2Loss_2,/device:GPU:0/stream:all,2000,1552507686160525000,1552507686160525000,1552507686160527000,1552507686160527000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,621000,1552507686285648000,1552507686285648000,1552507686286269000,1552507686286269000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,2014000,1552507686286282000,1552507686286282000,1552507686288296000,1552507686288296000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,1965000,1552507686288310000,1552507686288310000,1552507686290275000,1552507686290275000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,118000,1552507686290287000,1552507686290287000,1552507686290405000,1552507686290405000
Conv2DBackpropFilter,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropFilter,/device:GPU:0/stream:all,26000,1552507686290419000,1552507686290419000,1552507686290445000,1552507686290445000
L2Loss,tower_0/v/l2_loss/L2Loss,/device:GPU:0/stream:all,4000,1552507686160385000,1552507686160385000,1552507686160389000,1552507686160389000
L2Loss,tower_0/v/l2_loss/L2Loss,/device:GPU:0/stream:all,2000,1552507686160403000,1552507686160403000,1552507686160405000,1552507686160405000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,114000,1552507686186762000,1552507686186762000,1552507686186876000,1552507686186876000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,435000,1552507686186902000,1552507686186902000,1552507686187337000,1552507686187337000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,1480000,1552507686187348000,1552507686187348000,1552507686188828000,1552507686188828000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,693000,1552507686188844000,1552507686188844000,1552507686189537000,1552507686189537000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,5728000,1552507686189553000,1552507686189553000,1552507686195281000,1552507686195281000
Conv2D,tower_0/v/cg/conv3/conv2d/Conv2D,/device:GPU:0/stream:all,684000,1552507686195295000,1552507686195295000,1552507686195979000,1552507686195979000
L2Loss,tower_0/v/l2_loss/L2Loss_14,/device:GPU:0/stream:all,106000,1552507686150050000,1552507686150050000,1552507686150156000,1552507686150156000
L2Loss,tower_0/v/l2_loss/L2Loss_14,/device:GPU:0/stream:all,3000,1552507686150173000,1552507686150173000,1552507686150176000,1552507686150176000
Conv2D,tower_0/v/cg/conv1/conv2d/Conv2D,/device:GPU:0/stream:all,26000,1552507686171366000,1552507686171366000,1552507686171392000,1552507686171392000
Conv2D,tower_0/v/cg/conv1/conv2d/Conv2D,/device:GPU:0/stream:all,519000,1552507686171439000,1552507686171439000,1552507686171958000,1552507686171958000
Conv2D,tower_0/v/cg/conv1/conv2d/Conv2D,/device:GPU:0/stream:all,395000,1552507686171979000,1552507686171979000,1552507686172374000,1552507686172374000
Conv2D,tower_0/v/cg/conv1/conv2d/Conv2D,/device:GPU:0/stream:all,3444000,1552507686172389000,1552507686172389000,1552507686175833000,1552507686175833000
Conv2D,tower_0/v/cg/conv1/conv2d/Conv2D,/device:GPU:0/stream:all,1731000,1552507686175849000,1552507686175849000,1552507686177580000,1552507686177580000
SparseSoftmaxCrossEntropyWithLogits,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy,/device:GPU:0/stream:all,1000,1552507686209032000,1552507686209032000,1552507686209033000,1552507686209033000
SparseSoftmaxCrossEntropyWithLogits,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/xentropy/xentropy,/device:GPU:0/stream:all,57000,1552507686209046000,1552507686209046000,1552507686209103000,1552507686209103000
