sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.15,2.427,2.370,Const,GPU-0,0:(none)->(4),aggregated,5552.632,5421.053,131.579,131.579,1.024,134.773,925.439,6.000,903.509,6.000,1.000
0.12,6.557,6.154,Identity,GPU-0,0:(4096)->(4096) -t f32,aggregated,1710.526,1605.263,105.263,105.263,1.066,112.165,855.263,2.000,802.632,2.000,1.000
0.09,0.482,0.479,Mul,GPU-0,0:(128) 1:(128x1001)->(128x1001) -t f32,aggregated,16473.684,16394.737,78.947,78.947,1.005,79.327,16473.684,1.000,16394.737,1.000,1.000
0.09,11.538,10.345,Identity,GPU-0,0:(11x11x3x64)->(11x11x3x64) -t f32,aggregated,763.158,684.211,78.947,78.947,1.115,88.056,763.158,1.000,684.211,1.000,1.000
0.08,9.259,8.475,Identity,GPU-0,0:(4096x4096)->(4096x4096) -t f32,aggregated,776.316,710.526,65.790,65.790,1.093,71.882,776.316,1.000,710.526,1.000,1.000
0.06,1.802,1.770,Const,CPU-0,0:(none)->(1) -t i64,aggregated,2973.684,2921.053,52.631,52.631,1.018,53.579,2973.684,1.000,2921.053,1.000,1.000
0.06,3.175,3.077,VariableV2,GPU-0,0:(none)->(3x3x384x256) -t f32,aggregated,1710.526,1657.895,52.631,52.631,1.032,54.302,1710.526,1.000,1657.895,1.000,1.000
0.06,5.634,5.333,NoOp,CPU-0,0:(none)->(none),aggregated,986.842,934.211,52.631,52.631,1.056,55.596,986.842,1.000,934.211,1.000,1.000
0.05,5.357,5.085,Identity,GPU-0,0:(64)->(64) -t f32,aggregated,776.316,736.842,39.474,39.474,1.054,41.589,776.316,1.000,736.842,1.000,1.000
0.03,2.326,2.273,VariableV2,GPU-0,0:(none)->(256) -t f32,aggregated,1157.895,1131.579,26.316,26.316,1.023,26.928,1157.895,1.000,1131.579,1.000,1.000
0.03,3.571,3.448,Identity,GPU-0,0:(3x3x192x384)->(3x3x192x384) -t f32,aggregated,763.158,736.842,26.316,26.316,1.036,27.256,763.158,1.000,736.842,1.000,1.000
0.03,3.846,3.704,Identity,GPU-0,0:(5x5x64x192)->(5x5x64x192) -t f32,aggregated,710.526,684.211,26.315,26.315,1.038,27.327,710.526,1.000,684.211,1.000,1.000
0.02,1.852,1.818,Identity,GPU-0,0:(192)->(192) -t f32,aggregated,723.684,710.526,13.158,13.158,1.019,13.402,723.684,1.000,710.526,1.000,1.000
0.02,0.800,0.794,Const,GPU-0,0:(none)->(2) -t i32,aggregated,1657.895,1644.737,13.158,13.158,1.008,13.263,828.947,2.000,822.368,2.000,1.000
0.00,-3.704,-3.846,Identity,GPU-0,0:(3x3x384x384)->(3x3x384x384) -t f32,aggregated,684.211,710.526,-26.315,26.315,0.963,27.290,684.211,1.000,710.526,1.000,1.000
