reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys2,BiasAdd,GPU-0,0:(128x256x13x13) 1:(256)->(128x256x13x13) -t f16 -data_format NHWC,aggregated,0,352763.158,0,0,352763.158,1.0
unique to sys2,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f16 -tr_a 0 -tr_b 0,aggregated,0,1110157.895,0,0,1110157.895,1.0
unique to sys2,Reciprocal,GPU-0,0:(1)->(1) -t f32,aggregated,0,168289.474,0,0,168289.474,1.0
unique to sys2,Cast,GPU-0,0:(4096)->(4096) -DstT f16 -SrcT f32,aggregated,0,73947.368,0,0,36973.684,2.0
unique to sys2,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,5867473.684,0,0,5867473.684,1.0
unique to sys2,BiasAddGrad,GPU-0,0:(128x384x13x13)->(384) -t f16 -data_format NHWC,aggregated,0,616236.842,0,0,308118.421,2.0
unique to sys2,Add,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f16,aggregated,0,56578.947,0,0,28289.474,2.0
unique to sys2,Cast,GPU-0,0:(1001)->(1001) -DstT f16 -SrcT f32,aggregated,0,64473.684,0,0,64473.684,1.0
unique to sys2,Cast,GPU-0,0:(11x11x3x64)->(11x11x3x64) -DstT f32 -SrcT f16,aggregated,0,10131.579,0,0,10131.579,1.0
unique to sys2,Cast,GPU-0,0:(128x1001)->(128x1001) -DstT f32 -SrcT f16,aggregated,0,13394.737,0,0,13394.737,1.0
unique to sys2,ReluGrad,GPU-0,0:(128x192x27x27) 1:(128x192x27x27)->(128x192x27x27) -t f16,aggregated,0,1113315.789,0,0,1113315.789,1.0
unique to sys2,Conv2D,GPU-0,0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,8366684.211,0,0,8366684.211,1.0
unique to sys2,Cast,GPU-0,0:(3x3x384x256)->(3x3x384x256) -DstT f16 -SrcT f32,aggregated,0,42157.895,0,0,42157.895,1.0
unique to sys2,Cast,GPU-0,0:(4096x4096)->(4096x4096) -DstT f16 -SrcT f32,aggregated,0,681631.579,0,0,681631.579,1.0
unique to sys2,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f16 -seed i: 123 -seed2 i: 191,aggregated,0,55763.158,0,0,55763.158,1.0
unique to sys2,Relu,GPU-0,0:(128x192x27x27)->(128x192x27x27) -t f16,aggregated,0,597026.316,0,0,597026.316,1.0
unique to sys2,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,5662315.789,0,0,5662315.789,1.0
unique to sys2,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f16 -tr_a 0 -tr_b 1,aggregated,0,1229131.579,0,0,1229131.579,1.0
unique to sys2,MaxPool,GPU-0,0:(128x64x55x55)->(128x64x27x27) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,0,1143289.474,0,0,1143289.474,1.0
unique to sys2,MaxPoolGrad,GPU-0,0:(128x192x27x27) 1:(128x192x13x13) 2:(128x192x13x13)->(128x192x27x27) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,0,1223684.211,0,0,1223684.211,1.0
unique to sys2,Cast,GPU-0,0:(1001)->(1001) -DstT f32 -SrcT f16,aggregated,0,10289.474,0,0,10289.474,1.0
unique to sys2,BiasAddGrad,GPU-0,0:(128x64x55x55)->(64) -t f16 -data_format NHWC,aggregated,0,895763.158,0,0,895763.158,1.0
unique to sys2,Tile,GPU-0,0:(1) 1:(1)->(128) -t f32 -Tmultiples i32,aggregated,0,36684.211,0,0,36684.211,1.0
unique to sys2,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,8113526.316,0,0,8113526.316,1.0
unique to sys2,MaxPool,GPU-0,0:(128x192x27x27)->(128x192x13x13) -t f16 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,0,852473.684,0,0,852473.684,1.0
unique to sys2,Conv2DBackpropFilter,GPU-0,0:(128x64x27x27) 1:(4) 2:(128x192x27x27)->(5x5x64x192) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,4839842.105,0,0,4839842.105,1.0
unique to sys2,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t f16,aggregated,0,125736.842,0,0,31434.211,4.0
unique to sys2,BiasAddGrad,GPU-0,0:(128x4096)->(4096) -t f16 -data_format NHWC,aggregated,0,109105.263,0,0,54552.632,2.0
unique to sys2,MatMul,GPU-0,0:(128x4096) 1:(9216x4096)->(128x9216) -t f16 -tr_a 0 -tr_b 1,aggregated,0,2669394.737,0,0,2669394.737,1.0
unique to sys2,MatMul,GPU-0,0:(128x9216) 1:(128x4096)->(9216x4096) -t f16 -tr_a 1 -tr_b 0,aggregated,0,2895026.316,0,0,2895026.316,1.0
unique to sys2,Cast,GPU-0,0:(11x11x3x64)->(11x11x3x64) -DstT f16 -SrcT f32,aggregated,0,25605.263,0,0,25605.263,1.0
unique to sys2,VariableV2,GPU-0,0:(none)->(128x227x227x3) -t f16,aggregated,0,1763.158,0,0,1763.158,1.0
unique to sys2,Cast,GPU-0,0:(4096x4096)->(4096x4096) -DstT f32 -SrcT f16,aggregated,0,763736.842,0,0,763736.842,1.0
unique to sys2,Relu,GPU-0,0:(128x64x55x55)->(128x64x55x55) -t f16,aggregated,0,690710.526,0,0,690710.526,1.0
unique to sys2,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t f16 -data_format NHWC,aggregated,0,86131.579,0,0,43065.789,2.0
unique to sys2,Cast,GPU-0,0:(9216x4096)->(9216x4096) -DstT f32 -SrcT f16,aggregated,0,1808210.526,0,0,1808210.526,1.0
unique to sys2,Cast,GPU-0,0:(5x5x64x192)->(5x5x64x192) -DstT f32 -SrcT f16,aggregated,0,21605.263,0,0,21605.263,1.0
unique to sys2,Floor,GPU-0,0:(128x4096)->(128x4096) -t f16,aggregated,0,56315.789,0,0,28157.895,2.0
unique to sys2,BiasAdd,GPU-0,0:(128x384x13x13) 1:(384)->(128x384x13x13) -t f16 -data_format NHWC,aggregated,0,1069763.158,0,0,534881.579,2.0
unique to sys2,Cast,GPU-0,0:(3x3x192x384)->(3x3x192x384) -DstT f16 -SrcT f32,aggregated,0,32368.421,0,0,32368.421,1.0
unique to sys2,Const,GPU-0,0:(none)->(1) -t f16,aggregated,0,1263.158,0,0,1263.158,1.0
unique to sys2,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,5968789.474,0,0,5968789.474,1.0
unique to sys2,MatMul,GPU-0,0:(128x9216) 1:(9216x4096)->(128x4096) -t f16 -tr_a 0 -tr_b 0,aggregated,0,2469026.316,0,0,2469026.316,1.0
unique to sys2,Cast,GPU-0,0:(3x3x384x384)->(3x3x384x384) -DstT f16 -SrcT f32,aggregated,0,58210.526,0,0,58210.526,1.0
unique to sys2,RandomUniformInt,GPU-0,0:(1) 1:(1) 2:(1)->(128) -t i32 -Tout i32 -seed i: 123 -seed2 i: 21,aggregated,0,43052.632,0,0,43052.632,1.0
unique to sys2,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f16 -seed i: 123 -seed2 i: 161,aggregated,0,52210.526,0,0,52210.526,1.0
unique to sys2,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,8293473.684,0,0,8293473.684,1.0
unique to sys2,ReluGrad,GPU-0,0:(128x256x13x13) 1:(128x256x13x13)->(128x256x13x13) -t f16,aggregated,0,355078.947,0,0,355078.947,1.0
unique to sys2,BiasAddGrad,GPU-0,0:(128x1001)->(1001) -t f16 -data_format NHWC,aggregated,0,35500.0,0,0,35500.0,1.0
unique to sys2,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f16 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,0,5859684.211,0,0,5859684.211,1.0
unique to sys2,Cast,GPU-0,0:(64)->(64) -DstT f16 -SrcT f32,aggregated,0,12578.947,0,0,12578.947,1.0
unique to sys2,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f16,aggregated,0,116815.789,0,0,29203.947,4.0
unique to sys2,Cast,GPU-0,0:(4096x1001)->(4096x1001) -DstT f32 -SrcT f16,aggregated,0,180526.316,0,0,180526.316,1.0
unique to sys2,MatMul,GPU-0,0:(128x4096) 1:(128x1001)->(4096x1001) -t f16 -tr_a 1 -tr_b 0,aggregated,0,341421.053,0,0,341421.053,1.0
unique to sys2,BiasAdd,GPU-0,0:(128x1001) 1:(1001)->(128x1001) -t f16 -data_format NHWC,aggregated,0,18394.737,0,0,18394.737,1.0
unique to sys2,Cast,GPU-0,0:(256)->(256) -DstT f16 -SrcT f32,aggregated,0,9842.105,0,0,9842.105,1.0
unique to sys2,Conv2DBackpropFilter,GPU-0,0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f16 -data_format NHWC -p s -cudnn 1,aggregated,0,5339710.526,0,0,5339710.526,1.0
unique to sys2,ReluGrad,GPU-0,0:(128x384x13x13) 1:(128x384x13x13)->(128x384x13x13) -t f16,aggregated,0,1046947.368,0,0,523473.684,2.0
