sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
2.09,23.673,19.141,ReluGrad,GPU-0,0:(128x384x13x13) 1:(128x384x13x13)->(128x384x13x13) -t fX,aggregated,1294789.474,1046947.368,247842.106,247842.106,1.237,306513.355,647394.737,2.000,523473.684,2.000,1.000
1.93,4.741,4.526,Conv2DBackpropFilter,GPU-0,0:(128x64x27x27) 1:(4) 2:(128x192x27x27)->(5x5x64x192) -t fX -data_format NHWC -p s -cudnn 1,aggregated,5069289.474,4839842.105,229447.369,229447.369,1.047,240325.016,5069289.474,1.000,4839842.105,1.000,1.000
1.43,3.502,3.384,Conv2DBackpropInput,GPU-0,0:(4) 1:(3x3x192x384) 2:(128x384x13x13)->(128x192x13x13) -t fX -data_format NHWC -p s -cudnn 1,aggregated,5014578.947,4844894.737,169684.210,169684.210,1.035,175627.111,5014578.947,1.000,4844894.737,1.000,1.000
1.34,12.977,11.486,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t fX -tr_a 0 -tr_b 1,aggregated,1388631.579,1229131.579,159500.000,159500.000,1.130,180197.743,1388631.579,1.000,1229131.579,1.000,1.000
1.18,88.336,46.903,Relu,GPU-0,0:(128x256x13x13)->(128x256x13x13) -t fX,aggregated,298710.526,158605.263,140105.263,140105.263,1.883,263868.399,298710.526,1.000,158605.263,1.000,1.000
1.05,4.659,4.452,MatMul,GPU-0,0:(128x4096) 1:(9216x4096)->(128x9216) -t fX -tr_a 0 -tr_b 1,aggregated,2793763.158,2669394.737,124368.421,124368.421,1.047,130162.807,2793763.158,1.000,2669394.737,1.000,1.000
0.75,7.837,7.268,MaxPool,GPU-0,0:(128x64x55x55)->(128x64x27x27) -t fX -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1232894.737,1143289.474,89605.263,89605.263,1.078,96628.072,1232894.737,1.000,1143289.474,1.000,1.000
0.70,23.397,18.961,ReluGrad,GPU-0,0:(128x256x13x13) 1:(128x256x13x13)->(128x256x13x13) -t fX,aggregated,438157.895,355078.947,83078.948,83078.948,1.234,102517.193,438157.895,1.000,355078.947,1.000,1.000
0.67,63.771,38.939,Mul,GPU-0,0:(128x4096) 1:(128x4096)->(128x4096) -t fX,aggregated,205921.053,125736.842,80184.211,80184.211,1.638,131318.847,51480.263,4.000,31434.211,4.000,1.000
0.44,4.905,4.676,BiasAdd,GPU-0,0:(128x384x13x13) 1:(384)->(128x384x13x13) -t fX -data_format NHWC,aggregated,1122236.842,1069763.158,52473.684,52473.684,1.049,55047.607,561118.421,2.000,534881.579,2.000,1.000
0.40,175.463,63.697,Relu,GPU-0,0:(128x4096)->(128x4096) -t fX,aggregated,74447.368,27026.316,47421.052,47421.052,2.755,130627.219,37223.684,2.000,13513.158,2.000,1.000
0.39,14.159,12.403,MatMul,GPU-0,0:(128x4096) 1:(4096x1001)->(128x1001) -t fX -tr_a 0 -tr_b 0,aggregated,376605.263,329894.737,46710.526,46710.526,1.142,53324.373,376605.263,1.000,329894.737,1.000,1.000
0.38,38.342,27.715,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t fX,aggregated,161605.263,116815.789,44789.474,44789.474,1.383,61962.640,40401.316,4.000,29203.947,4.000,1.000
0.38,13.447,11.853,MatMul,GPU-0,0:(128x1001) 1:(4096x1001)->(128x4096) -t fX -tr_a 0 -tr_b 1,aggregated,376315.789,331710.526,44605.263,44605.263,1.134,50603.353,376315.789,1.000,331710.526,1.000,1.000
0.37,3.609,3.483,MaxPoolGrad,GPU-0,0:(128x192x27x27) 1:(128x192x13x13) 2:(128x192x13x13)->(128x192x27x27) -t fX -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1267842.105,1223684.211,44157.894,44157.894,1.036,45751.377,1267842.105,1.000,1223684.211,1.000,1.000
0.22,9.726,8.864,MaxPool,GPU-0,0:(128x256x13x13)->(128x256x6x6) -t fX -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,288868.421,263263.158,25605.263,25605.263,1.097,28095.659,288868.421,1.000,263263.158,1.000,1.000
