Root Directory, Benchmark, Model, GPU, Profiler, Kernel Launch, XLA, Data, Batch Size, Format, ExtraParam1, ExtraParam2, Aggregated/All Ops, Session time (sec), GPU ops time (sec), CPU ops time (sec), All ops time (sec), End-to-end time (sec), GPU performance (GOps/sec), GPU bandwidth (GB/sec), Performance (samples/sec), Warm Up (sec), Avg Warm Up (sec), Warm Up Batches, Analyzed Batches, CPU memory (GB), CPU bandwidth (GB/sec), CPU compute (GOps), CPU performance (GOps/sec), GPU memory (GB), GPU compute (GOps), Analytical memory (GB), Analytical compute (GOps), Total bandwidth (GB/sec), Total performance (GOps/sec), Date
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,software,blocking,xla_off,fp32,128,NHWC,extra_param1,extra_param2,169/230,0.149,0.145,0.000,0.145,102,4343,50,885,3,1,3,42,0,0,0,0,7,628,7,628,50,4342,Total time 102 seconds; 2019-03-13 13:01:28 (1552507288) - 2019-03-13 13:03:10 (1552507390)
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,none,blocking,xla_off,fp32,128,NHWC,extra_param1,extra_param2,0,0.148,0.148,0,0.148,10,=round(AE2/0.147602),=round(AD2/0.147602),867,3,1,3,42,=Z2,=round(Z2/0.147602),=AB2,=round(AB2/0.147602),=AD2,=AE2,=AF2,=AG2,=round(AF2/0.147602),=round(AG2/0.147602),Total time 10 seconds; 2019-03-13 13:03:16 (1552507396) - 2019-03-13 13:03:26 (1552507406)
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,hardware,blocking,xla_off,fp32,128,NHWC,extra_param1,extra_param2,131/231,0.156,0.142,0.000,0.142,102,4415,51,899,3,1,3,42,0,0,0,0,7,628,7,628,51,4414,Total time 102 seconds; 2019-03-13 13:03:31 (1552507411) - 2019-03-13 13:05:13 (1552507513)
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,software,blocking,xla_off,fp16,128,NHWC,extra_param1,extra_param2,203/292,0.151,0.146,0.000,0.146,135,4290,59,874,3,1,3,42,0,0,0,0,9,628,9,628,59,4289,Total time 135 seconds; 2019-03-13 13:05:19 (1552507519) - 2019-03-13 13:07:34 (1552507654)
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,none,blocking,xla_off,fp16,128,NHWC,extra_param1,extra_param2,0,0.146,0.146,0,0.146,10,=round(AE5/0.146071),=round(AD5/0.146071),876,3,1,3,42,=Z5,=round(Z5/0.146071),=AB5,=round(AB5/0.146071),=AD5,=AE5,=AF5,=AG5,=round(AF5/0.146071),=round(AG5/0.146071),Total time 10 seconds; 2019-03-13 13:07:40 (1552507660) - 2019-03-13 13:07:50 (1552507670)
all_results,alexnet,tf_cnn_benchmarks,GPU_4270_180,hardware,blocking,xla_off,fp16,128,NHWC,extra_param1,extra_param2,167/295,0.158,0.143,0.000,0.143,117,4405,61,897,3,1,3,42,0,0,0,0,9,628,9,628,61,4404,Total time 117 seconds; 2019-03-13 13:07:54 (1552507674) - 2019-03-13 13:09:51 (1552507791)
