Op_key, op_path, op_type, op_device, io_shapes, stream_all_time ,sum_stream_n_times, replica_gpu_compute_time, replica_cpu_compute_time,memcpy_time, total_time, stream_all_calls, sum_stream_n_calls,replica_gpu_compute_calls, replica_cpu_compute_calls, memcpy_calls, total_calls, all_start
_SOURCE@GPU-0@ 0:(none)->(none),_SOURCE,NoOp,GPU-0, 0:(none)->(none),0,0,4000,0,0,0,0,0,1,0,0,0,[1552507415061945000, 1552507415061948000, 1552507415061952000, 1552507415062079000]
ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip@GPU-0@ 0:(none)->(1),ConstantFolding/tower_0/v/cg/dropout0_1/dropout/dropout/div_recip,Const,GPU-0, 0:(none)->(1),0,0,1000,0,0,0,0,0,1,0,0,0,[1552507415062142000, 1552507415062142000, 1552507415062143000, 1552507415062145000]
tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/value@GPU-0@ 0:(1) 1:(1) 2:(1)->(1) -t f32,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/value,Select,GPU-0, 0:(1) 1:(1) 2:(1)->(1) -t f32,2000,0,23000,0,0,0,1,0,1,0,0,0,[1552507415123515000, 1552507415123515000, 1552507415123538000, 1552507415123540000]
tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter@GPU-0@ 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,Conv2DBackpropFilter,GPU-0, 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,7223000,0,7333000,0,0,0,1,0,1,0,0,0,[1552507415205180000, 1552507415205180000, 1552507415212513000, 1552507415212518000]
tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_7_grad/mul@GPU-0@ 0:(384) 1:(1)->(384) -t f32,tower_0/v/gradients/tower_0/v/l2_loss/L2Loss_7_grad/mul,Mul,GPU-0, 0:(384) 1:(1)->(384) -t f32,2000,0,17000,0,0,0,1,0,1,0,0,0,[1552507415070512000, 1552507415070513000, 1552507415070530000, 1552507415070533000]
ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip@GPU-0@ 0:(none)->(1),ConstantFolding/tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/div_recip,Const,GPU-0, 0:(none)->(1),0,0,2000,0,0,0,0,0,1,0,0,0,[1552507415062100000, 1552507415062100000, 1552507415062102000, 1552507415062103000]
v/cg/conv0/conv2d/kernel/read@GPU-0@ 0:(11x11x3x64)->(11x11x3x64) -t f32,v/cg/conv0/conv2d/kernel/read,Identity,GPU-0, 0:(11x11x3x64)->(11x11x3x64) -t f32,0,0,1000,0,0,0,0,0,1,0,0,0,[1552507415062412000, 1552507415062412000, 1552507415062413000, 1552507415062414000]
append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent@GPU-0@ 0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,append_apply_gradient_ops/GradientDescent/update_v/cg/affine0/biases/ApplyGradientDescent,ApplyGradientDescent,GPU-0, 0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,4000,0,22000,0,0,0,1,0,1,0,0,0,[1552507415138486000, 1552507415138487000, 1552507415138509000, 1552507415138512000]
v/cg/conv1/biases@GPU-0@ 0:(none)->(192) -t f32,v/cg/conv1/biases,VariableV2,GPU-0, 0:(none)->(192) -t f32,0,0,1000,0,0,0,0,0,1,0,0,0,[1552507415062198000, 1552507415062198000, 1552507415062199000, 1552507415062200000]
tower_0/v/l2_loss/L2Loss_14@GPU-0@ 0:(4096x1001)->(1) -t f32,tower_0/v/l2_loss/L2Loss_14,L2Loss,GPU-0, 0:(4096x1001)->(1) -t f32,110000,0,158000,0,0,0,1,0,1,0,0,0,[1552507415062503000, 1552507415062503000, 1552507415062661000, 1552507415062664000]
