Node	Time
4e-09	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
0.001026048	GPU-0	SparseSoftmaxCrossEntropyWithLogits	128128x1001 -Tlabels i32	128x1001	128	0.2ms 0TOps 10GBs
3.076e-06	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
0.00530842	GPU-0	L2Loss	1 	3x3x384x384	-	0.0ms 0TOps 130GBs
0.049201156	GPU-0	ApplyGradientDescent	4096x1001 -use_locking 0	4096x1001	1 4096x1001	0.3ms 0TOps 160GBs
0.003538948	GPU-0	L2Loss	1 	3x3x384x256	-	0.0ms 0TOps 110GBs
0.019010048	GPU-0	MatMul	128x1001 	128x4096	4096x1001	0.4ms 3TOps 50GBs
0.178364688	GPU-0	Conv2DBackpropFilter	11x11x3x64 str1441 lib	128x3x227x227	128x64x55x55	7.2ms 3TOps 20GBs
0.004194308	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
0.143327232	GPU-0	Relu	128x192x27x27 	128x192x27x27	-	1.0ms 0TOps 140GBs
0.002113536	GPU-0	BiasAddGrad	4096 	128x4096	-	0.0ms 0TOps 90GBs
0.123011072	GPU-0	MaxPool	128x64x27x27 ksize1331  str1221	128x64x55x55	-	1.3ms 0TOps 100GBs
0.000278784	GPU-0	AddN	11x11x3x64 -N i: 2 	11x11x3x64	11x11x3x64	0.0ms 0TOps 100GBs
0.07176192	GPU-0	Conv2D	128x384x13x13 same_pad lib	128x384x13x13	3x3x384x384	8.8ms 7TOps 10GBs
0.06645504	GPU-0	BiasAdd	128x384x13x13 	128x384x13x13	384	0.6ms 0TOps 120GBs
0.222134272	GPU-0	MaxPoolGrad	128x64x55x55 ksize1331  str1221	128x64x55x55	128x64x27x27 128x64x27x27	2.2ms 0TOps 100GBs
1.2e-08	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
0.157810688	GPU-0	MatMul	128x9216 B'	128x4096	9216x4096	2.8ms 3TOps 60GBs
4.9152e-05	GPU-0	AddN	4096 -N i: 2 	4096	4096	0.0ms 0TOps 20GBs
0.006291456	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
0.088276992	GPU-0	MaxPool	128x192x13x13 ksize1331  str1221	128x192x27x27	-	0.9ms 0TOps 100GBs
5.24e-07	GPU-0	RandomUniformInt	128 i32 -Tout i32 -seed i: 123 -seed2 i: 16	1	1 1	0.0ms 0TOps 0GBs
0.00209716	GPU-0	RandomUniform	128x4096 i32 -t  -seed i: 123 -seed2 i: 172	2	-	0.0ms 0TOps 110GBs
0.05891688	GPU-0	Conv2DBackpropInput	128x384x13x13 same_pad lib	3x3x384x256	128x256x13x13	6.3ms 6TOps 10GBs
0.004194304	GPU-0	Floor	128x4096 	128x4096	-	0.0ms 0TOps 140GBs
0.096780288	GPU-0	Conv2D	128x192x27x27 same_pad lib	128x64x27x27	5x5x64x192	4.8ms 12TOps 20GBs
0.071761936	GPU-0	Conv2DBackpropInput	128x384x13x13 same_pad lib	3x3x384x384	128x384x13x13	8.9ms 6TOps 10GBs
0.04430336	GPU-0	BiasAdd	128x256x13x13 	128x256x13x13	256	0.4ms 0TOps 120GBs
0.1982464	GPU-0	Relu	128x64x55x55 	128x64x55x55	-	1.3ms 0TOps 150GBs
1.2016e-05	GPU-0	ApplyGradientDescent	1001 -use_locking 0	1001	1 1001	0.0ms 0TOps 0GBs
0.001228804	GPU-0	L2Loss	1 	5x5x64x192	-	0.0ms 0TOps 60GBs
4.008e-06	GPU-0	L2Loss	1 	1001	-	0.0ms 0TOps 0GBs
1.2e-08	GPU-0	Add	1 	1	1	0.0ms 0TOps 0GBs
7.68e-07	GPU-0	AddN	64 -N i: 2 	64	64	0.0ms 0TOps 0GBs
0.301989892	GPU-0	Mul	9216x4096 	9216x4096	1	2.0ms 0TOps 150GBs
0.010616836	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 160GBs
0.0	CPU-0	VariableV2	1 i64	none	-	0.0ms 0TOps 0GBs
9.2932e-05	GPU-0	L2Loss	1 	11x11x3x64	-	0.0ms 0TOps 20GBs
0.158297104	GPU-0	Transpose	128x3x227x227 	128x227x227x3	4	1.9ms 0TOps 90GBs
1.6388e-05	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
