Node	Time
1000.0	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
5578.9473684210525	GPU-0	L2Loss	1 	11x11x3x64	-	0.0ms 0TOps 20GBs
1852894.7368421052	GPU-0	Transpose	128x3x227x227 	128x227x227x3	4	1.9ms 0TOps 90GBs
6631.57894736842	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
613210.5263157894	GPU-0	BiasAddGrad	64 	128x64x55x55	-	0.6ms 0TOps 160GBs
1897394.7368421052	GPU-0	BiasAdd	128x192x27x27 	128x192x27x27	192	1.9ms 0TOps 80GBs
2184.2105263157896	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
2421.0526315789475	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 0GBs
871131.5789473684	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
369973.6842105263	GPU-0	MatMul	128x4096 B'	128x1001	4096x1001	0.4ms 3TOps 50GBs
28973.68421052632	GPU-0	Floor	128x4096 	128x4096	-	0.0ms 0TOps 140GBs
28394.736842105263	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
1911947.3684210526	GPU-0	ReluGrad	128x64x55x55 	128x64x55x55	128x64x55x55	1.9ms 0TOps 160GBs
5038947.368421053	GPU-0	Conv2DBackpropInput	128x192x13x13 same_pad lib	3x3x192x384	128x384x13x13	5.0ms 6TOps 10GBs
1736.8421052631577	CPU-0	Identity	1 	none	-	0.0ms 0TOps 0GBs
6405684.2105263155	GPU-0	Conv2D	128x64x55x55 str1441 lib	128x3x227x227	11x11x3x64	6.4ms 3TOps 30GBs
2552.6315789473683	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
2078.9473684210525	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
1026.3157894736842	CPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
3447.3684210526317	CPU-0	AssignAdd	1 i64 -use_locking 0	1	1	0.0ms 0TOps 0GBs
226631.57894736843	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
1280289.4736842106	GPU-0	AddN	4096x4096 -N i: 2 	4096x4096	4096x4096	1.3ms 0TOps 160GBs
1894.7368421052631	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
30368.42105263158	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
636026.3157894737	GPU-0	ReluGrad	128x384x13x13 	128x384x13x13	128x384x13x13	0.6ms 0TOps 160GBs
434184.2105263158	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.4ms 0TOps 150GBs
2902947.3684210526	GPU-0	AddN	9216x4096 -N i: 2 	9216x4096	9216x4096	2.9ms 0TOps 160GBs
2552.6315789473683	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
28894.736842105263	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
1288921.0526315789	GPU-0	ApplyGradientDescent	4096x4096 -use_locking 0	4096x4096	1 4096x4096	1.3ms 0TOps 160GBs
471763.15789473685	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.5ms 0TOps 140GBs
