Node	Time
949.9777777777778	MEMCPY-0	MEMCPYDtoH	4 bytes 	Transfer	-	0.0ms 0TOps 0GBs
6208.955555555554	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
31864.133333333302	GPU-0	BiasAddGrad	64 	128x64x55x55	-	0.6ms 0TOps 160GBs
1006258.3333333335	GPU-0	BiasAdd	128x192x27x27 	128x192x27x27	192	1.9ms 0TOps 80GBs
2074.9333333333334	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
2233.266666666667	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 0GBs
81920.93333333347	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
245863.62222222218	GPU-0	MatMul	128x4096 B'	128x1001	4096x1001	0.4ms 3TOps 50GBs
4223.311111111114	GPU-0	Floor	128x4096 	128x4096	-	0.0ms 0TOps 140GBs
3673.288888888892	GPU-0	Add	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
164296.6666666665	GPU-0	ReluGrad	128x64x55x55 	128x64x55x55	128x64x55x55	1.9ms 0TOps 160GBs
4495364.711111112	GPU-0	Conv2DBackpropInput	128x192x13x13 same_pad lib	3x3x192x384	128x384x13x13	5.0ms 6TOps 10GBs
5094485.155555556	GPU-0	Conv2D	128x64x55x55 str1441 lib	128x3x227x227	11x11x3x64	6.4ms 3TOps 30GBs
2419.288888888889	GPU-0	L2Loss	1 	256	-	0.0ms 0TOps 0GBs
1930.4888888888888	GPU-0	Mul	1001 	1001	1	0.0ms 0TOps 0GBs
3274.9333333333334	CPU-0	AssignAdd	1 i64 -use_locking 0	1	1	0.0ms 0TOps 0GBs
30698.399999999994	GPU-0	BiasAddGrad	384 	128x384x13x13	-	0.2ms 0TOps 150GBs
97793.93333333335	GPU-0	AddN	4096x4096 -N i: 2 	4096x4096	4096x4096	1.3ms 0TOps 160GBs
1798.5555555555554	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
5457.288888888888	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
50445.79999999993	GPU-0	ReluGrad	128x384x13x13 	128x384x13x13	128x384x13x13	0.6ms 0TOps 160GBs
43288.8666666667	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.4ms 0TOps 150GBs
241217.6000000001	GPU-0	AddN	9216x4096 -N i: 2 	9216x4096	9216x4096	2.9ms 0TOps 160GBs
2416.4444444444443	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
4148.311111111114	GPU-0	Relu	128x4096 	128x4096	-	0.0ms 0TOps 150GBs
105993.91111111082	GPU-0	ApplyGradientDescent	4096x4096 -use_locking 0	4096x4096	1 4096x4096	1.3ms 0TOps 160GBs
78988.8666666667	GPU-0	Relu	128x384x13x13 	128x384x13x13	-	0.5ms 0TOps 140GBs
108023.55555555559	GPU-0	MaxPool	128x256x6x6 ksize1331  str1221	128x256x13x13	-	0.3ms 0TOps 100GBs
4048.2888888888847	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
1817923.9555555556	GPU-0	MatMul	9216x4096 A'	128x9216	128x4096	2.8ms 3TOps 60GBs
2057.9333333333334	GPU-0	AddN	256 -N i: 2 	256	256	0.0ms 0TOps 0GBs
4847.466666666667	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
10829.377777777776	GPU-0	L2Loss	1 	3x3x192x384	-	0.0ms 0TOps 100GBs
4849.622222222222	GPU-0	AddN	1 -N i: 16 	16x1	-	0.0ms 0TOps 0GBs
4098.288888888888	GPU-0	Mul	128x4096 	1	128x4096	0.0ms 0TOps 150GBs
3145.0	GPU-0	AddN	5x5x64x192 -N i: 2 	5x5x64x192	5x5x64x192	0.0ms 0TOps 150GBs
445104.6888888888	GPU-0	BiasAdd	128x64x55x55 	128x64x55x55	64	1.6ms 0TOps 120GBs
912671.2888888889	GPU-0	MatMul	128x4096 	128x4096	4096x4096	1.4ms 3TOps 50GBs
6283.955555555555	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
2330.4666666666662	GPU-0	BiasAddGrad	1001 	128x1001	-	0.0ms 0TOps 90GBs
4822.466666666674	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
29325.91111111114	GPU-0	Relu	128x256x13x13 	128x256x13x13	-	0.3ms 0TOps 150GBs
3716981.644444444	GPU-0	Conv2DBackpropInput	128x64x27x27 same_pad lib	5x5x64x192	128x192x27x27	4.5ms 13TOps 20GBs
212163.6222222222	GPU-0	MatMul	4096x1001 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
17171.111111111117	GPU-0	Transpose	128x6x6x256 	128x256x6x6	4	0.1ms 0TOps 130GBs
5407.288888888885	GPU-0	BiasAdd	128x4096 	128x4096	4096	0.0ms 0TOps 140GBs
3567.5777777777694	GPU-0	ApplyGradientDescent	3x3x384x256 -use_locking 0	3x3x384x256	1 3x3x384x256	0.1ms 0TOps 160GBs
4597.466666666667	GPU-0	ReluGrad	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
145780.3333333333	GPU-0	BiasAdd	128x384x13x13 	128x384x13x13	384	0.5ms 0TOps 120GBs
6038.1777777777825	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 150GBs
127331.3999999999	GPU-0	ReluGrad	128x192x27x27 	128x192x27x27	128x192x27x27	1.4ms 0TOps 150GBs
2299.3777777777777	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
1987.1999999999998	GPU-0	AddN	192 -N i: 2 	192	192	0.0ms 0TOps 0GBs
4291456.644444444	GPU-0	Conv2DBackpropFilter	5x5x64x192 same_pad lib	128x64x27x27	128x192x27x27	5.1ms 11TOps 20GBs
2287.177777777778	GPU-0	ApplyGradientDescent	192 -use_locking 0	192	1 192	0.0ms 0TOps 0GBs
20247.955555555527	GPU-0	L2Loss	1 	4096x4096	-	0.4ms 0TOps 160GBs
5372.466666666674	GPU-0	Mul	128x4096 	128x4096	128x4096	0.0ms 0TOps 150GBs
2124.4	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
5638.199999999997	GPU-0	AddN	3x3x192x384 -N i: 2 	3x3x192x384	3x3x192x384	0.1ms 0TOps 150GBs
1566.4444444444441	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
311141.06666666653	GPU-0	MaxPoolGrad	128x192x27x27 ksize1331  str1221	128x192x27x27	128x192x13x13 128x192x13x13	1.3ms 0TOps 130GBs
