sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.25,52.838,34.571,RandomUniform,GPU-0,0:(2)->(128x4096) -t i32 -t f32 -seed i: 123 -seed2 i: 144,aggregated,27631.579,18078.947,9552.632,9552.632,1.528,14600.093,27631.579,1.000,18078.947,1.000,1.000
0.25,22.423,18.316,Mul,GPU-0,0:(3x3x384x256) 1:(1)->(3x3x384x256) -t f32,aggregated,51578.947,42131.579,9447.368,9447.368,1.224,11565.797,51578.947,1.000,42131.579,1.000,1.000
0.25,1.078,1.067,Mul,GPU-0,0:(4096x4096) 1:(1)->(4096x4096) -t f32,aggregated,880526.316,871131.579,9394.737,9394.737,1.011,9496.055,880526.316,1.000,871131.579,1.000,1.000
0.24,14.297,12.509,Mul,GPU-0,0:(3x3x384x384) 1:(1)->(3x3x384x384) -t f32,aggregated,74684.211,65342.105,9342.106,9342.106,1.143,10677.768,74684.211,1.000,65342.105,1.000,1.000
0.24,426.506,81.007,ApplyGradientDescent,GPU-0,0:(64) 1:(1) 2:(64)->(64) -t f32 -use_locking 0,aggregated,11500.000,2184.211,9315.789,9315.789,5.265,49048.180,11500.000,1.000,2184.211,1.000,1.000
0.24,141.393,58.574,BiasAdd,GPU-0,0:(128x1001) 1:(1001)->(128x1001) -t f32 -data_format NHWC,aggregated,15500.000,6421.053,9078.947,9078.947,2.414,21915.981,15500.000,1.000,6421.053,1.000,1.000
0.23,88.512,46.953,Mul,GPU-0,0:(5x5x64x192) 1:(1)->(5x5x64x192) -t f32,aggregated,19000.000,10078.947,8921.053,8921.053,1.885,16817.234,19000.000,1.000,10078.947,1.000,1.000
0.23,651.923,86.701,Mul,GPU-0,0:(64) 1:(1)->(64) -t f32,aggregated,10289.474,1368.421,8921.053,8921.053,7.519,67079.461,10289.474,1.000,1368.421,1.000,1.000
0.23,407.229,80.285,AddN,GPU-0,0:(256) 1:(256)->(256) -N i: 2 -t f32,aggregated,11078.947,2184.211,8894.736,8894.736,5.072,45116.662,11078.947,1.000,2184.211,1.000,1.000
0.23,3.022,2.934,Relu,GPU-0,0:(128x256x13x13)->(128x256x13x13) -t f32,aggregated,298710.526,289947.368,8763.158,8763.158,1.030,9028.009,298710.526,1.000,289947.368,1.000,1.000
0.22,34.603,25.708,AddN,GPU-0,0:(5x5x64x192) 1:(5x5x64x192)->(5x5x64x192) -N i: 2 -t f32,aggregated,33473.684,24868.421,8605.263,8605.263,1.346,11582.957,33473.684,1.000,24868.421,1.000,1.000
0.22,514.286,83.721,Mul,GPU-0,0:(192) 1:(1)->(192) -t f32,aggregated,10184.211,1657.895,8526.316,8526.316,6.143,52375.935,10184.211,1.000,1657.895,1.000,1.000
0.22,33.927,25.332,ApplyGradientDescent,GPU-0,0:(5x5x64x192) 1:(1) 2:(5x5x64x192)->(5x5x64x192) -t f32 -use_locking 0,aggregated,33657.895,25131.579,8526.316,8526.316,1.339,11419.014,33657.895,1.000,25131.579,1.000,1.000
0.22,2.334,2.280,BiasAdd,GPU-0,0:(128x256x13x13) 1:(256)->(128x256x13x13) -t f32 -data_format NHWC,aggregated,372736.842,364236.842,8500.000,8500.000,1.023,8698.360,372736.842,1.000,364236.842,1.000,1.000
0.22,487.879,82.990,Mul,GPU-0,0:(256) 1:(1)->(256) -t f32,aggregated,10210.526,1736.842,8473.684,8473.684,5.879,49814.992,10210.526,1.000,1736.842,1.000,1.000
0.22,426.667,81.013,L2Loss,GPU-0,0:(192)->(1) -t f32,aggregated,10394.737,1973.684,8421.053,8421.053,5.267,44350.885,10394.737,1.000,1973.684,1.000,1.000
0.21,2.439,2.381,MatMul,GPU-0,0:(128x4096) 1:(128x1001)->(4096x1001) -t f32 -tr_a 1 -tr_b 0,aggregated,342657.895,334500.000,8157.895,8157.895,1.024,8356.852,342657.895,1.000,334500.000,1.000,1.000
0.21,430.556,81.152,L2Loss,GPU-0,0:(64)->(1) -t f32,aggregated,10052.632,1894.737,8157.895,8157.895,5.306,43282.163,10052.632,1.000,1894.737,1.000,1.000
0.21,11.736,10.503,AddN,GPU-0,0:(3x3x384x256) 1:(3x3x384x256)->(3x3x384x256) -N i: 2 -t f32,aggregated,77421.053,69289.474,8131.579,8131.579,1.117,9085.874,77421.053,1.000,69289.474,1.000,1.000
0.21,286.916,74.155,ApplyGradientDescent,GPU-0,0:(11x11x3x64) 1:(1) 2:(11x11x3x64)->(11x11x3x64) -t f32 -use_locking 0,aggregated,10894.737,2815.789,8078.948,8078.948,3.869,31258.739,10894.737,1.000,2815.789,1.000,1.000
0.21,0.435,0.433,Transpose,GPU-0,0:(128x227x227x3) 1:(4)->(128x3x227x227),aggregated,1860947.368,1852894.737,8052.631,8052.631,1.004,8087.628,1860947.368,1.000,1852894.737,1.000,1.000
0.21,12.150,10.834,ApplyGradientDescent,GPU-0,0:(3x3x384x256) 1:(1) 2:(3x3x384x256)->(3x3x384x256) -t f32 -use_locking 0,aggregated,73842.105,65842.105,8000.000,8000.000,1.122,8972.022,73842.105,1.000,65842.105,1.000,1.000
0.21,8.015,7.420,ApplyGradientDescent,GPU-0,0:(3x3x384x384) 1:(1) 2:(3x3x384x384)->(3x3x384x384) -t f32 -use_locking 0,aggregated,107815.789,99815.789,8000.000,8000.000,1.080,8641.181,107815.789,1.000,99815.789,1.000,1.000
0.21,15.088,13.110,AddN,GPU-0,0:(3x3x192x384) 1:(3x3x192x384)->(3x3x192x384) -N i: 2 -t f32,aggregated,60421.053,52500.000,7921.053,7921.053,1.151,9116.159,60421.053,1.000,52500.000,1.000,1.000
0.21,2.503,2.442,ApplyGradientDescent,GPU-0,0:(4096x1001) 1:(1) 2:(4096x1001)->(4096x1001) -t f32 -use_locking 0,aggregated,322210.526,314342.105,7868.421,7868.421,1.025,8065.379,322210.526,1.000,314342.105,1.000,1.000
0.20,7.594,7.058,AddN,GPU-0,0:(3x3x384x384) 1:(3x3x384x384)->(3x3x384x384) -N i: 2 -t f32,aggregated,111105.263,103263.158,7842.105,7842.105,1.076,8437.657,111105.263,1.000,103263.158,1.000,1.000
0.20,285.577,74.065,AddN,GPU-0,0:(11x11x3x64) 1:(11x11x3x64)->(11x11x3x64) -N i: 2 -t f32,aggregated,10552.632,2736.842,7815.790,7815.790,3.856,30135.885,10552.632,1.000,2736.842,1.000,1.000
0.20,303.093,75.192,L2Loss,GPU-0,0:(256)->(1) -t f32,aggregated,10289.474,2552.632,7736.842,7736.842,4.031,31186.648,10289.474,1.000,2552.632,1.000,1.000
0.20,14.620,12.755,ApplyGradientDescent,GPU-0,0:(3x3x192x384) 1:(1) 2:(3x3x192x384)->(3x3x192x384) -t f32 -use_locking 0,aggregated,60657.895,52921.053,7736.842,7736.842,1.146,8867.937,60657.895,1.000,52921.053,1.000,1.000
0.20,2.455,2.396,AddN,GPU-0,0:(4096x1001) 1:(4096x1001)->(4096x1001) -N i: 2 -t f32,aggregated,320657.895,312973.684,7684.211,7684.211,1.025,7872.876,320657.895,1.000,312973.684,1.000,1.000
0.17,0.350,0.348,ReluGrad,GPU-0,0:(128x64x55x55) 1:(128x64x55x55)->(128x64x55x55) -t f32,aggregated,1918631.579,1911947.368,6684.211,6684.211,1.003,6707.579,1918631.579,1.000,1911947.368,1.000,1.000
0.17,1.714,1.685,MatMul,GPU-0,0:(128x1001) 1:(4096x1001)->(128x4096) -t f32 -tr_a 0 -tr_b 1,aggregated,376315.789,369973.684,6342.105,6342.105,1.017,6450.822,376315.789,1.000,369973.684,1.000,1.000
0.13,0.396,0.394,MaxPoolGrad,GPU-0,0:(128x192x27x27) 1:(128x192x13x13) 2:(128x192x13x13)->(128x192x27x27) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,1267842.105,1262842.105,5000.000,5000.000,1.004,5019.797,1267842.105,1.000,1262842.105,1.000,1.000
0.10,0.298,0.297,AddN,GPU-0,0:(4096x4096) 1:(4096x4096)->(4096x4096) -N i: 2 -t f32,aggregated,1284105.263,1280289.474,3815.789,3815.789,1.003,3827.162,1284105.263,1.000,1280289.474,1.000,1.000
0.00,-0.627,-0.631,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 1,aggregated,1388631.579,1397394.737,-8763.158,8763.158,0.994,8818.112,1388631.579,1.000,1397394.737,1.000,1.000
0.00,-2.067,-2.110,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,8768868.421,8953921.053,-185052.632,185052.632,0.979,188877.155,8768868.421,1.000,8953921.053,1.000,1.000
