sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.50,4.643,4.437,L2Loss,GPU-0,0:(4096x4096)->(1) -t f32,tower_0/v/l2_loss/L2Loss_12,432973.684,413763.158,19210.526,19210.526,1.046,20102.448,432973.684,1.000,413763.158,1.000,1.000
0.49,60.588,37.729,L2Loss,GPU-0,0:(3x3x384x256)->(1) -t f32,tower_0/v/l2_loss/L2Loss_8,50289.474,31315.789,18973.684,18973.684,1.606,30469.505,50289.474,1.000,31315.789,1.000,1.000
0.48,333.962,76.957,L2Loss,GPU-0,0:(11x11x3x64)->(1) -t f32,tower_0/v/l2_loss/L2Loss,24210.526,5578.947,18631.579,18631.579,4.340,80854.022,24210.526,1.000,5578.947,1.000,1.000
0.47,6.656,6.240,MaxPool,GPU-0,0:(128x256x13x13)->(128x256x6x6) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,tower_0/v/cg/mpool2/MaxPool,288868.421,270842.105,18026.316,18026.316,1.067,19226.085,288868.421,1.000,270842.105,1.000,1.000
0.47,326.923,76.577,BiasAddGrad,GPU-0,0:(128x1001)->(1001) -t f32 -data_format NHWC,tower_0/v/gradients/tower_0/v/cg/affine2/xw_plus_b_grad/BiasAddGrad,23368.421,5473.684,17894.737,17894.737,4.269,76396.761,23368.421,1.000,5473.684,1.000,1.000
0.43,645.361,86.584,AddN,GPU-0,0:(4096) 1:(4096)->(4096) -N i: 2 -t f32,tower_0/v/gradients/AddN_4,19026.316,2552.632,16473.684,16473.684,7.454,122788.388,19026.316,1.000,2552.632,1.000,1.000
0.42,2.002,1.962,MaxPoolGrad,GPU-0,0:(128x256x13x13) 1:(128x256x6x6) 2:(128x256x6x6)->(128x256x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,tower_0/v/gradients/tower_0/v/cg/mpool2/MaxPool_grad/MaxPoolGrad,820736.842,804631.579,16105.263,16105.263,1.020,16427.621,820736.842,1.000,804631.579,1.000,1.000
0.40,0.343,0.341,Conv2DBackpropInput,GPU-0,0:(4) 1:(5x5x64x192) 2:(128x192x27x27)->(128x64x27x27) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv1/conv2d/Conv2D_grad/Conv2DBackpropInput,4493921.053,4478578.947,15342.105,15342.105,1.003,15394.662,4493921.053,1.000,4478578.947,1.000,1.000
0.40,76.923,43.478,L2Loss,GPU-0,0:(5x5x64x192)->(1) -t f32,tower_0/v/l2_loss/L2Loss_2,35105.263,19842.105,15263.158,15263.158,1.769,27004.049,35105.263,1.000,19842.105,1.000,1.000
0.39,610.753,85.930,Sum,GPU-0,0:(128) 1:(1)->(1) -t f32 -Tidx i32 -keep_dims b: 0,tower_0/v/xentropy/sparse_softmax_cross_entropy_loss/Sum,17394.737,2447.368,14947.368,14947.368,7.108,106238.823,17394.737,1.000,2447.368,1.000,1.000
