rank by total time,time for 1 occ (ns),gpu time for 1 occ (ns),cpu time for 1 occ (ns),occurence (in a batch; for RNNs - in all batches),total time,total gpu time,total cpu time,rel time % (in a batch; for RNNs - in all batches),gpu rel time % (in a batch; for RNNs - in all batches),cpu rel time % (in a batch; for RNNs - in all batches),cumulative time (ns),cumulative time (%),cumulative gpu time (ns),cumulative gpu time (%),cumulative cpu time (ns),cumulative cpu time (%),Num GOps in 1 occ,Total GOps in all occ,Achieved CPU GOps/sec,Achieved GPU GOps/sec,Achieved total GOps/sec,Num bytes (if 32b data),Num bytes for all occ (if 32b data),Achieved bandwidth GB/sec,Device bandwidth GB/s,Memory time for all occ,(total time) - (memory time for all occ),GPU bandwidth utilization % (=100%*(num_bytes/time)/(peak GB/sec)),GPU compute utilization % (=100%*(num_ops/time)/(peak GOps/sec)),Potential optimization score from bandwidth underutilization,Potential optimization score from compute underutilization,Overall potential optimization score (=duration*min(compute bandwidth underutilization)),Op name,Device,Op config,Ops aggregated,intra op gap ((all end-all start)-(op end-op start) ns),skewness,kurtosis,unbiased std,mean,mean-std,mean+std,25th percentile,50th percentile,75th percentile,measured op time (ns),1st batch all start,1st batch op start,1st batch op end,1st batch all end,batch2 all start; batch2 op start; batch2 op end; batch2 all end; batch 3 all start etc.
1,9093394.737,9093394.737,0.000,1.000,9093394.737,9093394.737,0.000,6.286,6.287,0.000,9093394.737,6.286,9093394.737,6.287,0.000,0.000,57.4158274560000,57.4158274560000,0.000,6314.015,6314.015,71761936.000,71761936.000,7.8916552153240,180.000,398.677,9092996.059,4.384,147.869,5.696,0.000,0.000,Conv2DBackpropInput,GPU-0, 0:(4) 1:(3x3x384x384) 2:(128x384x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropInput,4000,0.6051499551181744,3.6084233102814234,117004,9099548,8982543,9216552,9020000.0,9103000.0,9182000.0,9057000;9062000;8901000;9179000;9116000;9160000;9186000;9184000;8950000;9192000,91316192,91317192,100374192,100377192,544899192;544900192;553962192;553966192;872900192;872900192;881801192;881804192;1200116192;1200117192;1209296192;1209300192;1526948192;1526948192;1536064192;1536068192;1853265192;1853265192;1862425192;1862429192;2180568192;2180568192;2189754192;2189758192;2507657192;2507657192;2516841192;2516845192;2888296192;2888296192;2897246192;2897250192;3215843192;3215843192;3225035192;3225038192;3542589192;3542589192;3551654192;3551657192;3871044192;3871045192;3880173192;3880176192;4199581192;4199581192;4208683192;4208687192;4527188192;4527189192;4536387192;4536391192;4855839192;4855839192;4864909192;4864913192;5183813192;5183814192;5193072192;5193076192;5509865192;5509865192;5518862192;5518866192;5834538192;5834539192;5843784192;5843788192;6159902192;6159902192;6169014192;6169018192;6486016192;6486017192;6495450192;6495454192
2,8889000.000,8889000.000,0.000,1.000,8889000.000,8889000.000,0.000,6.145,6.146,0.000,17982394.737,12.431,17982394.737,12.433,0.000,0.000,57.4158274560000,57.4158274560000,0.000,6459.200,6459.200,71761920.000,71761920.000,8.0731150860614,180.000,398.677,8888601.323,4.485,151.269,5.562,0.000,0.000,Conv2D,GPU-0, 0:(128x384x13x13) 1:(3x3x384x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/cg/conv3/conv2d/Conv2D,5000,-0.47956188936886635,2.1707118066149187,315580,8876548,8560968,9192127,8667500.0,8904000.0,9123500.0,8813000;9002000;9089000;9263000;8893000;8882000;9249000;9276000;9261000;9303000,36267192,36268192,45081192,45085192,489228192;489228192;498230192;498234192;815031192;815031192;824120192;824123192;1143061192;1143061192;1152324192;1152328192;1470608192;1470609192;1479502192;1479506192;1796440192;1796440192;1805322192;1805325192;2123564192;2123564192;2132813192;2132816192;2450612192;2450613192;2459889192;2459893192;2830016192;2830017192;2839278192;2839281192;3158744192;3158744192;3168047192;3168050192;3486294192;3486295192;3495094192;3495098192;3814322192;3814322192;3823506192;3823509192;4141976192;4141977192;4150887192;4150890192;4470148192;4470148192;4479387192;4479391192;4799763192;4799763192;4808629192;4808633192;5126656192;5126657192;5135654192;5135657192;5454012192;5454012192;5463038192;5463042192;5779592192;5779592192;5788267192;5788271192;6104830192;6104831192;6113587192;6113590192;6431012192;6431012192;6439460192;6439464192
3,8768868.421,8768868.421,0.000,1.000,8768868.421,8768868.421,0.000,6.062,6.063,0.000,26751263.158,18.493,26751263.158,18.496,0.000,0.000,57.4158274560000,57.4158274560000,0.000,6547.689,6547.689,71761936.000,71761936.000,8.1837168211706,180.000,398.677,8768469.744,4.547,153.342,5.483,0.000,0.000,Conv2DBackpropFilter,GPU-0, 0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv3/conv2d/Conv2D_grad/Conv2DBackpropFilter,4000,1.2189756296368939,5.912103240836455,173841,8779952,8606111,8953793,8705250.0,8781000.0,8845750.0,8742000;8885000;8535000;8785000;8788000;8851000;8853000;8861000;8462000;8773000,100648192,100648192,109390192,109394192,554235192;554235192;563120192;563123192;882071192;882071192;890606192;890610192;1209571192;1209572192;1218357192;1218360192;1536335192;1536336192;1545124192;1545127192;1862699192;1862699192;1871550192;1871554192;2190027192;2190027192;2198880192;2198885192;2517116192;2517116192;2525977192;2525981192;2897517192;2897518192;2905980192;2905984192;3225308192;3225308192;3234081192;3234085192;3551925192;3551926192;3561347192;3561354192;3880445192;3880446192;3889276192;3889280192;4208957192;4208958192;4217805192;4217809192;4536661192;4536662192;4545507192;4545511192;4865185192;4865185192;4873911192;4873914192;5193346192;5193347192;5202448192;5202452192;5519136192;5519137192;5527812192;5527816192;5844062192;5844063192;5852987192;5852991192;6169288192;6169288192;6178093192;6178097192;6495726192;6495726192;6504849192;6504853192
4,7122000.000,7122000.000,0.000,1.000,7122000.000,7122000.000,0.000,4.923,4.924,0.000,33873263.158,23.417,33873263.158,23.420,0.000,0.000,19.1539476480000,19.1539476480000,0.000,2689.406,2689.406,178364688.000,178364688.000,25.0441853411963,180.000,990.915,7121009.085,13.913,62.984,3.992,1.576,1.576,Conv2DBackpropFilter,GPU-0, 0:(128x3x227x227) 1:(4) 2:(128x64x55x55)->(11x11x3x64) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv0/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,1.3797814867627034,6.490773654239531,111994,7129238,7017244,7241232,7066750.0,7133000.0,7154750.0,7227000;7282000;7142000;7072000;7076000;7138000;7142000;7154000;7143000;7018000,139465192,139465192,146692192,146697192,593096192;593097192;600379192;600383192;920299192;920299192;927441192;927446192;1248063192;1248063192;1255135192;1255140192;1574870192;1574870192;1581946192;1581951192;1901539192;1901539192;1908677192;1908681192;2228867192;2228867192;2236009192;2236013192;2555949192;2555949192;2563103192;2563108192;2935648192;2935649192;2942792192;2942797192;3263677192;3263677192;3270695192;3270699192;3591413192;3591414192;3598497192;3598502192;3919198192;3919198192;3926290192;3926295192;4247652192;4247652192;4254805192;4254809192;4575481192;4575482192;4582523192;4582527192;4903852192;4903853192;4911138192;4911143192;5232598192;5232598192;5239825192;5239829192;5557571192;5557572192;5564647192;5564652192;5883091192;5883092192;5890286192;5890291192;6207993192;6207993192;6215138192;6215142192;6535464192;6535464192;6543028192;6543033192
5,6464631.579,6464631.579,0.000,1.000,6464631.579,6464631.579,0.000,4.469,4.470,0.000,40337894.737,27.886,40337894.737,27.890,0.000,0.000,17.9908608000000,17.9908608000000,0.000,2782.968,2782.968,178364672.000,178364672.000,27.5908487315596,180.000,990.915,6463640.664,15.328,65.175,3.561,1.333,1.333,Conv2D,GPU-0, 0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,tower_0/v/cg/conv0/conv2d/Conv2D,5000,-0.5756235282326552,2.7341878106626547,343747,6453286,6109539,6797032,6198250.0,6543500.0,6689250.0,6459000;5605000;6894000;6737000;6687000;6596000;6747000;6484000;6750000;6753000,8434192,8435192,14894192,14898192,463562192;463563192;469168192;469172192;786487192;786487192;793381192;793389192;1115151192;1115152192;1121889192;1121896192;1442731192;1442731192;1449418192;1449428192;1769163192;1769163192;1775759192;1775767192;2095905192;2095905192;2102652192;2102660192;2422866192;2422866192;2429350192;2429357192;2802313192;2802314192;2809064192;2809071192;3130959192;3130959192;3137712192;3137721192;3458863192;3458863192;3465488192;3465497192;3786821192;3786822192;3793512192;3793520192;4114085192;4114085192;4120752192;4120759192;4442519192;4442519192;4449280192;4449289192;4771812192;4771812192;4778418192;4778426192;5098346192;5098346192;5105427192;5105436192;5426729192;5426730192;5433261192;5433269192;5753244192;5753244192;5759382192;5759390192;6078266192;6078266192;6084512192;6084520192;6404274192;6404275192;6410484192;6410491192
6,6253631.579,6253631.579,0.000,1.000,6253631.579,6253631.579,0.000,4.323,4.324,0.000,46591526.316,32.209,46591526.316,32.214,0.000,0.000,38.2772183040000,38.2772183040000,0.000,6120.798,6120.798,58916880.000,58916880.000,9.4212265715079,180.000,327.316,6253304.263,5.234,143.344,3.881,0.000,0.000,Conv2DBackpropInput,GPU-0, 0:(4) 1:(3x3x384x256) 2:(128x256x13x13)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropInput,5000,2.0628141567571747,9.633909818526664,125295,6266786,6141491,6392080,6179500.0,6247000.0,6317500.0,6216000;6212000;6411000;6319000;6259000;6309000;6318000;6304000;6345000;6316000,78079192,78080192,84296192,84300192,531670192;531671192;537883192;537887192;859304192;859304192;865715192;865719192;1186705192;1186705192;1193024192;1193028192;1513630192;1513630192;1519889192;1519893192;1839862192;1839863192;1846172192;1846176192;2167163192;2167163192;2173481192;2173484192;2494252192;2494252192;2500556192;2500559192;2874851192;2874851192;2881196192;2881201192;3202418192;3202419192;3208735192;3208738192;3529352192;3529352192;3535582192;3535586192;3857702192;3857703192;3863968192;3863972192;4186215192;4186215192;4192514192;4192517192;4513758192;4513759192;4520082192;4520086192;4842583192;4842584192;4848821192;4848825192;5170273192;5170273192;5176655192;5176658192;5496723192;5496723192;5502895192;5502898192;5821224192;5821225192;5827447192;5827451192;6146620192;6146620192;6152859192;6152863192;6472491192;6472491192;6478742192;6478745192
7,6164973.684,6164973.684,0.000,1.000,6164973.684,6164973.684,0.000,4.262,4.262,0.000,52756500.000,36.471,52756500.000,36.476,0.000,0.000,38.2772183040000,38.2772183040000,0.000,6208.821,6208.821,58916864.000,58916864.000,9.5567097311211,180.000,327.316,6164646.368,5.309,145.406,3.822,0.000,0.000,Conv2D,GPU-0, 0:(128x384x13x13) 1:(3x3x384x256)->(128x256x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/cg/conv4/conv2d/Conv2D,4000,0.4558971646144861,3.2232302573017924,191402,6174476,5983075,6365878,5990500.0,6207500.0,6288250.0,6011000;6289000;6732000;6289000;6247000;6584000;6286000;6292000;6298000;6282000,46088192,46088192,52099192,52103192,499237192;499238192;505527192;505531192;825160192;825160192;831892192;831895192;1153357192;1153357192;1159646192;1159650192;1480530192;1480530192;1486777192;1486780192;1806345192;1806345192;1812929192;1812932192;2133842192;2133842192;2140128192;2140131192;2460921192;2460922192;2467214192;2467217192;2840307192;2840307192;2846605192;2846609192;3169082192;3169083192;3175365192;3175369192;3496116192;3496117192;3502622192;3502625192;3824531192;3824531192;3830800192;3830804192;4151912192;4151912192;4158178192;4158182192;4480417192;4480417192;4486721192;4486725192;4809651192;4809651192;4815857192;4815861192;5136689192;5136690192;5143029192;5143032192;5464071192;5464071192;5470228192;5470231192;5789272192;5789273192;5795226192;5795230192;6114592192;6114592192;6120577192;6120581192;6440463192;6440463192;6446404192;6446408192
8,6082526.316,6082526.316,0.000,1.000,6082526.316,6082526.316,0.000,4.205,4.205,0.000,58839026.316,40.675,58839026.316,40.681,0.000,0.000,38.2772183040000,38.2772183040000,0.000,6292.980,6292.980,58916880.000,58916880.000,9.6862515575246,180.000,327.316,6082199.000,5.381,147.377,3.768,0.000,0.000,Conv2DBackpropFilter,GPU-0, 0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv4/conv2d/Conv2D_grad/Conv2DBackpropFilter,5000,0.28612855918679386,3.6229082770211236,72411,6084476,6012065,6156887,6045750.0,6090000.0,6127000.0,6057000;6054000;6218000;6127000;6093000;6124000;6121000;6134000;6127000;6141000,84500192,84501192,90558192,90562192,538088192;538088192;544142192;544146192;865922192;865922192;872140192;872143192;1193230192;1193231192;1199358192;1199362192;1520095192;1520095192;1526188192;1526192192;1846378192;1846379192;1852503192;1852507192;2173687192;2173688192;2179809192;2179813192;2500762192;2500762192;2506896192;2506899192;2881408192;2881408192;2887535192;2887539192;3208941192;3208941192;3215082192;3215086192;3535787192;3535788192;3541830192;3541834192;3864174192;3864174192;3870285192;3870288192;4192721192;4192721192;4198817192;4198821192;4520290192;4520290192;4526426192;4526430192;4849029192;4849030192;4855081192;4855085192;5176861192;5176861192;5183053192;5183057192;5503098192;5503099192;5509107192;5509110192;5827653192;5827653192;5833773192;5833778192;6153066192;6153066192;6159141192;6159145192;6478947192;6478947192;6485250192;6485255192
9,6069500.000,6069500.000,0.000,1.000,6069500.000,6069500.000,0.000,4.196,4.196,0.000,64908526.316,44.871,64908526.316,44.878,0.000,0.000,28.7079137280000,28.7079137280000,0.000,4729.865,4729.865,52494336.000,52494336.000,8.6488732185518,180.000,291.635,6069208.365,4.805,110.770,3.784,0.000,0.000,Conv2D,GPU-0, 0:(128x192x13x13) 1:(3x3x192x384)->(128x384x13x13) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/cg/conv2/conv2d/Conv2D,3000,1.8114768066579223,6.355080515595747,275814,6100190,5824376,6376005,5938750.0,6042000.0,6142000.0,5937000;6975000;6124000;6021000;6028000;6037000;6101000;6122000;6315000;5968000,29304192,29304192,35241192,35244192,481097192;481097192;488072192;488079192;807859192;807860192;813984192;813989192;1136003192;1136004192;1142025192;1142029192;1463343192;1463343192;1469371192;1469376192;1789371192;1789372192;1795409192;1795413192;2116427192;2116427192;2122528192;2122532192;2443443192;2443444192;2449566192;2449571192;2822670192;2822670192;2828985192;2828989192;3151739192;3151739192;3157707192;3157711192;3479250192;3479251192;3485268192;3485272192;3807164192;3807165192;3813285192;3813290192;4134711192;4134712192;4140947192;4140951192;4463151192;4463151192;4469112192;4469116192;4792360192;4792360192;4798453192;4798457192;5119301192;5119302192;5125615192;5125620192;5446659192;5446659192;5452972192;5452978192;5772781192;5772781192;5778581192;5778587192;6097949192;6097950192;6103811192;6103817192;6423931192;6423932192;6429999192;6430005192
10,5761447.368,5761447.368,0.000,1.000,5761447.368,5761447.368,0.000,3.983,3.983,0.000,70669973.684,48.854,70669973.684,48.861,0.000,0.000,28.7079137280000,28.7079137280000,0.000,4982.761,4982.761,52494352.000,52494352.000,9.1113132939000,180.000,291.635,5761155.733,5.062,116.692,3.582,0.000,0.000,Conv2DBackpropFilter,GPU-0, 0:(128x192x13x13) 1:(4) 2:(128x384x13x13)->(3x3x192x384) -t f32 -data_format NHWC -p s -cudnn 1,tower_0/v/gradients/tower_0/v/cg/conv2/conv2d/Conv2D_grad/Conv2DBackpropFilter,3000,1.3179920900664788,6.404577788860048,94292,5768738,5674446,5863030,5729250.0,5765500.0,5805000.0,5859000;5743000;5741000;5728000;5756000;5818000;5823000;5818000;5741000;5686000,115623192,115623192,121482192,121485192,569268192;569268192;575011192;575015192;896730192;896731192;902472192;902476192;1224500192;1224501192;1230229192;1230233192;1551326192;1551326192;1557082192;1557086192;1877779192;1877780192;1883598192;1883601192;2205109192;2205110192;2210933192;2210937192;2532216192;2532216192;2538034192;2538037192;2912117192;2912117192;2917858192;2917862192;3240222192;3240222192;3245908192;3245912192;3567897192;3567898192;3573588192;3573592192;3895480192;3895481192;3901272192;3901276192;4224013192;4224014192;4229793192;4229797192;4551737192;4551737192;4557544192;4557548192;4880067192;4880068192;4885807192;4885811192;5208722192;5208722192;5214612192;5214616192;5534010192;5534011192;5539748192;5539752192;5859240192;5859240192;5865106192;5865110192;6184300192;6184300192;6190077192;6190080192;6511178192;6511179192;6517179192;6517183192
