Node	Time
1353383.653395784	GPU-0	tower_0	v	cg	conv0	conv2d	Conv2D	5.9ms 3TOps 30GBs 0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55)
28302.21592505855	GPU-0	tower_0	v	cg	dropout0_1	dropout	dropout	mul	0.0ms 0TOps 210GBs 0:(128x4096) 1:(128x4096)->(128x4096)
31428.056206088993	GPU-0	tower_0	v	gradients	AddN_13	0.0ms 0TOps 111GBs 0:(5x5x64x192) 1:(5x5x64x192)->(5x5x64x192) -N i: 2
12099.940046838412	GPU-0	tower_0	v	mul_11	0.0ms 0TOps 0GBs 0:(256) 1:(1)->(256)
10599.999765807963	GPU-0	append_apply_gradient_ops	GradientDescent	update_v	cg	conv3	biases	ApplyGradientDescent	0.0ms 0TOps 0GBs 0:(384) 1:(1) 2:(384)->(384)
649.9997658079626	GPU-0	v	cg	conv1	conv2d	kernel	read	0.0ms 0TOps 0GBs 0:(5x5x64x192)->(5x5x64x192)
19328.056206088993	GPU-0	tower_0	v	mul_4	0.0ms 0TOps 120GBs 0:(5x5x64x192) 1:(1)->(5x5x64x192)
487118.9306791569	GPU-0	tower_0	v	gradients	tower_0	v	cg	affine0	xw_plus_b	MatMul_grad	MatMul_1	2.9ms 3TOps 55GBs 0:(128x9216) 1:(128x4096)->(9216x4096)
562979.2379391101	GPU-0	tower_0	v	cg	conv1	Relu	0.6ms 0TOps 240GBs 0:(128x192x27x27)->(128x192x27x27)
41552.215925058554	GPU-0	tower_0	v	cg	affine0	xw_plus_b	0.0ms 0TOps 96GBs 0:(128x4096) 1:(4096)->(128x4096)
1999.9997658079624	GPU-0	v	cg	affine1	biases	0.0ms 0TOps 0GBs 0:(none)->(4096)
38624.99976580797	GPU-0	tower_0	v	gradients	tower_0	v	xentropy	sparse_softmax_cross_entropy_loss	value_grad	Select	0.0ms 0TOps 0GBs 0:(1) 1:(1) 2:(1)->(1)
84924.04074941453	GPU-0	tower_0	v	gradients	tower_0	v	l2_loss	L2Loss_13_grad	mul	0.1ms 0TOps 0GBs 0:(4096) 1:(1)->(4096)
10924.999765807963	GPU-0	append_apply_gradient_ops	GradientDescent	update_v	cg	conv1	biases	ApplyGradientDescent	0.0ms 0TOps 0GBs 0:(192) 1:(1) 2:(192)->(192)
17444.993442622952	GPU-0	tower_0	v	cg	affine2	xw_plus_b	0.0ms 0TOps 56GBs 0:(128x1001) 1:(1001)->(128x1001)
210439.79016393443	GPU-0	tower_0	v	mul_16	0.2ms 0TOps 147GBs 0:(4096x1001) 1:(1)->(4096x1001)
105349.99976580798	GPU-0	append_apply_gradient_ops	GradientDescent	update_v	cg	conv3	conv2d	kernel	ApplyGradientDescent	0.1ms 0TOps 144GBs 0:(3x3x384x384) 1:(1) 2:(3x3x384x384)->(3x3x384x384)
2074.999765807963	GPU-0	average_loss	Mean	0.0ms 0TOps 0GBs 0:(1) 1:(1)->(1)
24324.999765807963	GPU-0	Cast	0.0ms 0TOps 7GBs 0:(11x11x3x64)->(11x11x3x64) -DstT f16 -SrcT f32
725549.999765808	GPU-0	tower_0	v	gradients	tower_0	v	cg	affine1	Cast_grad	Cast	0.8ms 0TOps 176GBs 0:(4096x4096)->(4096x4096) -DstT f32 -SrcT f16
