61205.51111111111	GPU-0	Cast	1001 -DstT f16 -SrcT f32 	1001	-	0.1ms 0TOps 0GBs
799.9997658079626	GPU-0	Identity	4096 	4096	-	0.0ms 0TOps 0GBs
14098.555555555558	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
40897.08888888889	GPU-0	RandomUniformInt	128 i32 -Tout i32 -seed i: 123 -seed2 i: 21	1	1 1	0.0ms 0TOps 0GBs
5048.31111111111	GPU-0	Floor	128x4096 f16	128x4096	-	0.0ms 0TOps 140GBs
14724.91111111111	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
812.4997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
93970.93333333335	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
737.4997658079625	GPU-0	Const	2 i32	none	-	0.0ms 0TOps 0GBs
14767.955555555558	GPU-0	Cast	4096 -DstT f16 -SrcT f32 	4096	-	0.0ms 0TOps 0GBs
824.9997658079625	GPU-0	Const	2 i32	none	-	0.0ms 0TOps 0GBs
1930047.9747072598	GPU-0	Conv2DBackpropFilter	11x11x3x64 f16  str1441 lib	128x3x227x227	128x64x55x55	6.8ms 3TOps 30GBs
9376.2	GPU-0	AddN	11x11x3x64 -N i: 2 	11x11x3x64	11x11x3x64	0.0ms 0TOps 20GBs
65483.955555555556	GPU-0	L2Loss	1 	4096	-	0.1ms 0TOps 0GBs
260492.5777777778	GPU-0	ApplyGradientDescent	9216x4096 -use_locking 0	9216x4096	1 9216x4096	2.9ms 0TOps 150GBs
81882.26666666666	GPU-0	BiasAddGrad	256 f16	128x256x13x13	-	0.2ms 0TOps 100GBs
11467.955555555556	GPU-0	Cast	4096 -DstT f32 -SrcT f16 	4096	-	0.0ms 0TOps 0GBs
88995.22222222225	GPU-0	BiasAdd	128x256x13x13 f16	128x256x13x13	256	0.4ms 0TOps 130GBs
2274.999765807963	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
11983.266666666668	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 0GBs
