Node	Time
73524.99976580797	GPU-0	ApplyGradientDescent	3x3x384x256 -use_locking 0	3x3x384x256	1 3x3x384x256	0.1ms 0TOps 140GBs
10799.91007025761	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
54799.99976580796	GPU-0	Mul	1 	1	1	0.1ms 0TOps 0GBs
48802.85807962506	GPU-0	MatMul	128x4096 f16	128x4096	4096x4096	1.1ms 4TOps 60GBs
29977.215925058546	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 130GBs
304839.79016393446	GPU-0	AddN	4096x1001 -N i: 2 	4096x1001	4096x1001	0.3ms 0TOps 150GBs
61249.99976580797	GPU-0	Cast	1001 -DstT f16 -SrcT f32 	1001	-	0.1ms 0TOps 0GBs
799.9997658079626	GPU-0	Identity	4096 	4096	-	0.0ms 0TOps 0GBs
14099.955269320842	GPU-0	L2Loss	1 	64	-	0.0ms 0TOps 0GBs
40899.99976580796	GPU-0	RandomUniformInt	128 i32 -Tout i32 -seed i: 123 -seed2 i: 21	1	1 1	0.0ms 0TOps 0GBs
28349.999765807963	GPU-0	Floor	128x4096 f16	128x4096	-	0.0ms 0TOps 140GBs
14724.999765807963	GPU-0	Select	1 	1	1 1	0.0ms 0TOps 0GBs
812.4997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
650371.5339578454	GPU-0	Relu	128x64x55x55 f16	128x64x55x55	-	0.7ms 0TOps 290GBs
220479.63981264638	GPU-0	Relu	128x384x13x13 f16	128x384x13x13	-	0.2ms 0TOps 280GBs
835695.9096018736	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 150GBs
737.4997658079625	GPU-0	Const	2 i32	none	-	0.0ms 0TOps 0GBs
14949.999765807966	GPU-0	Cast	4096 -DstT f16 -SrcT f32 	4096	-	0.0ms 0TOps 0GBs
824.9997658079625	GPU-0	Const	2 i32	none	-	0.0ms 0TOps 0GBs
1930047.9747072598	GPU-0	Conv2DBackpropFilter	11x11x3x64 f16  str1441 lib	128x3x227x227	128x64x55x55	6.8ms 3TOps 30GBs
10919.55925058548	GPU-0	AddN	11x11x3x64 -N i: 2 	11x11x3x64	11x11x3x64	0.0ms 0TOps 20GBs
65572.1224824356	GPU-0	L2Loss	1 	4096	-	0.1ms 0TOps 0GBs
2777074.999765808	GPU-0	ApplyGradientDescent	9216x4096 -use_locking 0	9216x4096	1 9216x4096	2.9ms 0TOps 150GBs
203653.1531615925	GPU-0	BiasAddGrad	256 f16	128x256x13x13	-	0.2ms 0TOps 100GBs
11649.999765807963	GPU-0	Cast	4096 -DstT f32 -SrcT f16 	4096	-	0.0ms 0TOps 0GBs
333828.0932084309	GPU-0	BiasAdd	128x256x13x13 f16	128x256x13x13	256	0.4ms 0TOps 130GBs
2274.999765807963	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
29627.215925058546	GPU-0	Mul	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 200GBs
12049.765573770494	GPU-0	AddN	1001 -N i: 2 	1001	1001	0.0ms 0TOps 0GBs
49599.99976580797	GPU-0	RandomUniform	128x4096 i32 -t  f16 -seed i: 123 -seed2 i: 161	2	-	0.1ms 0TOps 40GBs
1024.9997658079626	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
1540121.5339578453	GPU-0	BiasAdd	128x64x55x55 f16	128x64x55x55	64	1.6ms 0TOps 120GBs
291054.7297423887	GPU-0	BiasAddGrad	384 f16	128x384x13x13	-	0.3ms 0TOps 110GBs
1574.9997658079624	GPU-0	VariableV2	3x3x384x256 	none	-	0.0ms 0TOps 0GBs
229402.8580796253	GPU-0	MatMul	4096x4096 f16 A'	128x4096	128x4096	1.3ms 3TOps 50GBs
10749.999765807963	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
9144.559250585482	GPU-0	Mul	11x11x3x64 	11x11x3x64	1	0.0ms 0TOps 20GBs
712.4997658079625	GPU-0	Identity	256 	256	-	0.0ms 0TOps 0GBs
1219674.999765808	GPU-0	ApplyGradientDescent	4096x4096 -use_locking 0	4096x4096	1 4096x4096	1.3ms 0TOps 160GBs
801095.8791569086	GPU-0	MaxPool	128x192x13x13 f16  ksize1331  str1221	128x192x27x27	-	0.9ms 0TOps 100GBs
1824.9997658079624	GPU-0	VariableV2	4096x1001 	none	-	0.0ms 0TOps 0GBs
9324.999765807961	GPU-0	ApplyGradientDescent	64 -use_locking 0	64	1 64	0.0ms 0TOps 0GBs
69292.8018735363	GPU-0	AddN	3x3x384x256 -N i: 2 	3x3x384x256	3x3x384x256	0.1ms 0TOps 150GBs
9049.999765807965	GPU-0	Cast	384 -DstT f16 -SrcT f32 	384	-	0.0ms 0TOps 0GBs
55299.99976580797	GPU-0	Cast	4096 -DstT f16 -SrcT f32 	4096	-	0.1ms 0TOps 0GBs
30749.999765807963	GPU-0	Cast	3x3x192x384 -DstT f16 -SrcT f32 	3x3x192x384	-	0.0ms 0TOps 160GBs
28927.21592505855	GPU-0	Add	128x4096 f16	1	128x4096	0.0ms 0TOps 140GBs
787.4997658079624	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
1717799.999765808	GPU-0	Cast	9216x4096 -DstT f32 -SrcT f16 	9216x4096	-	1.8ms 0TOps 170GBs
649.9997658079626	GPU-0	Identity	11x11x3x64 	11x11x3x64	-	0.0ms 0TOps 0GBs
774.9997658079626	GPU-0	Identity	9216x4096 	9216x4096	-	0.0ms 0TOps 0GBs
13174.999765807963	GPU-0	Cast	384 -DstT f16 -SrcT f32 	384	-	0.0ms 0TOps 0GBs
